mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw)
19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird
18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang
23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket
24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop
25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop
23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3
20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega
21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal
19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw)
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw)
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw)
22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw)
21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw)
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw)
22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw)
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw)
23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw)
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham
18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant
16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom
18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet
18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick
23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin
20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina
21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega
22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610
18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3
19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto
21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6
26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix
29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128
24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta
20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls
19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom
24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le
20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega
20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster
21.0,6,200.0,,2875,17.0,74,usa,ford maverick
19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet
15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova
31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210
26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto
32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200
25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega
16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador
18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw)
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw)
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw)
29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox
26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher
26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta
31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona
32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710
28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt
24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc
24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic
26.0,4,108.0,93.0,2391,15.5,74,japan,subaru
31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9
19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom
18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova
15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch
15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd
17.0,6,231.0,110.0,3907,21.0,75,usa,buick century
16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador
18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury
21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla
23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto
20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin
23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro
24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona
25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher
24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710
18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto
29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit
19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer
23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls
23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504
22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl
25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le
33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc
28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131
25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900
25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii
26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt
27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino
22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant
22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova
24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick
22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet
29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette
24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody
29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit
33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic
20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se
18.0,6,250.0,78.0,3574,21.0,76,usa,ford granada ghia
18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac ventura sj
17.5,6,258.0,95.0,3193,17.8,76,usa,amc pacer d/l
29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit
32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210
28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla
26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto
20.0,4,130.0,102.0,3150,15.7,76,europe,volvo 245
13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8
19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot 504
19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii
16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz 280s
16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville
13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10
13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108
13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc
30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe
36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl
25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback
17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic
17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham
15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham
17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet concours
20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark
19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom
18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada
16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba
16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird
29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom
24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe
26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback
25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2
30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m
30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl
30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher
22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810
21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i
21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4
43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel
36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta
32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe
39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx
36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc
19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham
19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat
20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia
19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj
20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu
20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto)
25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man)
20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare
19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord
20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special
20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr
18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen
18.1,6,258.0,120.0,3410,15.1,78,usa,amc concord d/l
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau
17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo)
18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura
17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe
30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette
27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona
27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510
30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni
21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback
23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo
23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile starfire sx
23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx
20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000
17.0,6,163.0,125.0,3140,13.6,78,europe,volvo 264gl
21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle
16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl
31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco
29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx
21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6
19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6
22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4
20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6
20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic
17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau
16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis
18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis
16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw)
15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw)
19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw)
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw)
31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom
34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe
35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom
27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl
25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d
23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado
27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504
23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon
34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3
31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210
37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom
28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation
26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit
38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel
32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette
37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation
26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont
24.3,4,151.0,90.0,3003,20.1,80,usa,amc concord
19.1,6,225.0,90.0,3381,18.7,80,usa,dodge aspen
34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000
29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel)
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel)
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl
40.9,4,85.0,,1835,17.3,80,europe,renault lecar deluxe
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx
23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe
23.6,4,140.0,,2905,14.3,80,usa,ford mustang cobra
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet citation
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta
34.5,4,100.0,,2320,15.8,81,europe,renault 18i
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida
24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima
22.4,6,231.0,110.0,3415,15.8,81,usa,buick century
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl
17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix
24.0,4,140.0,92.0,2865,16.4,82,usa,ford fairmont futura
23.0,4,151.0,,3035,20.5,82,usa,amc concord dl
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto)
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx
25.0,6,181.0,110.0,2945,16.4,82,usa,buick century limited
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion
22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10
