Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Month,Brand
DRI11,,Low Fat,0.034237682,Dairy,113.2834,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,2303.668,M1_January,Amul
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,2748.4224,M1_January,Amul
FDN22,18.85,Regular,0.138190277,Dairy,250.8724,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,3775.086,M1_January,Amul
FDW12,,Regular,0.035399923,Dairy,144.5444,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,4064.0432,M1_January,Amul
NCB30,14.6,Low Fat,0.025698134,Dairy,196.5084,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,1587.2672,M1_January,Amul
FDC37,,Low Fat,0.057556998,Dairy,107.6938,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,214.3876,M1_January,Amul
FDR28,13.85,Regular,0.025896485,Dairy,165.021,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,4078.025,M1_January,Amul
NCD06,13,Low Fat,0.099887103,Dairy,45.906,OUT017,2019,,Tier 2,Supermarket OUT-Pune,838.908,M1_January,Amul
FDV10,7.645,Regular,0.066693437,Dairy,42.3112,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,1065.28,M1_January,Amul
DRJ59,11.65,Low Fat,0.019356132,Dairy,39.1164,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,308.9312,M1_January,Amul
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,178.4344,M1_January,Amul
FDC14,,Regular,0.072221801,Dairy,43.6454,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,125.8362,M1_January,Amul
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,163.7868,M1_January,Amul
NCS17,18.6,Low Fat,0.080829372,Dairy,96.4436,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,2741.7644,M1_January,Amul
FDP33,18.7,Low Fat,0,Dairy,256.6672,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,3068.0064,M1_January,Amul
FDO23,17.85,Low Fat,0,Dairy,93.1436,OUT045,2019,,Tier 2,Supermarket OUT-Pune,2174.5028,M1_January,Amul
DRH01,17.5,Low Fat,0.097904029,Dairy,174.8738,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,2085.2856,M1_January,Amul
NCX29,10,Low Fat,0.089291137,Dairy,146.7102,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,3791.0652,M1_January,Amul
FDV20,,Regular,0.059511812,Dairy,128.0678,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,2797.6916,M1_January,Amul
DRZ11,8.85,Regular,0.113123893,Dairy,122.5388,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,1609.9044,M1_January,Amul
FDX10,,Regular,0.123111453,Dairy,36.9874,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,388.1614,M1_January,Amul
FDB34,,Low Fat,0.026480954,Dairy,87.6198,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,2180.495,M1_January,Amul
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,3435.528,M1_January,Amul
FDK43,9.8,Low Fat,0.02681843,Dairy,126.002,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,2150.534,M1_January,Amul
FDA46,13.6,Low Fat,0.117818348,Dairy,192.9136,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,2527.3768,M1_January,Amul
FDC02,21.35,Low Fat,0.069102831,Dairy,259.9278,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,6768.5228,M1_January,Amul
FDL50,12.15,Regular,0.042277867,Dairy,126.5046,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,373.5138,M1_January,Amul
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,358.2004,M1_January,Amul
NCP05,19.6,Low Fat,0,Dairy,153.3024,OUT045,2019,,Tier 2,Supermarket OUT-Pune,2428.8384,M1_January,Amul
FDV49,10,Low Fat,0.025879577,Dairy,265.2226,OUT045,2019,,Tier 2,Supermarket OUT-Pune,5815.0972,M1_January,Amul
FDL12,15.85,Regular,0.121632721,Dairy,60.622,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,2576.646,M1_January,Amul
FDS02,,Regular,0.255394896,Dairy,196.8794,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,780.3176,M1_January,Amul
NCL17,7.39,Low Fat,0.067779712,Dairy,143.8812,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,3134.5864,M1_January,Amul
FDM40,10.195,Low Fat,0.159803853,Dairy,141.5154,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,850.8924,M1_January,Amul
FDRegular3,9.895,Regular,0.028696932,Dairy,117.0492,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,810.9444,M1_January,Amul
FDA43,10.895,Low Fat,0.065041581,Dairy,196.3794,OUT017,2019,,Tier 2,Supermarket OUT-Pune,3121.2704,M1_January,Amul
NCP18,12.15,Low Fat,0.028760013,Dairy,151.4708,OUT017,2019,,Tier 2,Supermarket OUT-Pune,4815.0656,M1_January,Amul
FDK21,7.905,Low Fat,0.010053105,Dairy,249.0408,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,6258.52,M1_January,Amul
NCX54,9.195,Low Fat,0.048157338,Dairy,106.1622,OUT045,2019,,Tier 2,Supermarket OUT-Pune,2117.244,M1_January,Amul
DRK35,8.365,Low Fat,0.071958197,Dairy,38.0506,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,796.9626,M1_January,Amul
FDY21,15.1,Low Fat,0.173481304,Dairy,194.511,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,4910.275,M1_January,Amul
FDI26,,Low Fat,0.061082177,Dairy,180.0344,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,892.172,M1_January,Amul
FDM20,10,Low Fat,0,Dairy,246.9144,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,3185.1872,M1_January,Amul
FDV27,7.97,Regular,0.040071131,Dairy,87.3514,OUT045,2019,,Tier 2,Supermarket OUT-Pune,1062.6168,M1_January,Amul
FDF09,,Low Fat,0.012090074,Dairy,38.2848,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,484.7024,M1_January,Amul
FDY40,,Regular,0.15028599,Dairy,51.0692,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,147.8076,M1_January,Amul
FDY45,,Low Fat,0.026015519,Dairy,255.8356,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,2543.356,M1_January,Amul
FDC46,17.7,Low Fat,0.195068226,Dairy,185.4266,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,184.4266,M1_January,Amul
FDH19,19.35,Low Fat,0.033082215,Dairy,172.5738,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,4865.6664,M1_January,Amul
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,1118.544,M1_January,Amul
DRH37,17.6,Low Fat,0.041700756,Dairy,164.8526,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,2302.3364,M1_January,Amul
NCI17,8.645,Low Fat,0.143422643,Dairy,95.841,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,2027.361,M1_January,Amul
FDJ58,15.6,Regular,0.105296072,Dairy,170.1764,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,3435.528,M1_January,Amul
FDL12,15.85,Regular,0.121531501,Dairy,59.222,OUT013,2019,High,Tier 3,Supermarket OUT-Solapur,599.22,M1_January,Amul
FDH35,18.25,Low Fat,0,Dairy,164.7526,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,4604.6728,M1_January,Amul
FDG02,7.855,Low Fat,0.011324862,Dairy,189.6188,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,2285.0256,M1_January,Amul
NCZ18,7.825,Low Fat,0.186357148,Dairy,254.3698,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,5580.7356,M1_January,Amul
FDC29,8.39,Regular,0.024205661,Dairy,114.0176,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,2290.352,M1_January,Amul
FDQ10,12.85,Regular,0.033230816,Dairy,172.3422,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,1207.0954,M1_January,Amul
FDN48,,Regular,0.113720344,Dairy,89.9804,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,643.1628,M1_January,Amul
FDL04,19,Regular,0.112556507,Dairy,104.9622,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,1587.933,M1_January,Amul
FDV25,5.905,Regular,0,Dairy,222.5456,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,5305.0944,M1_January,Amul
FDD58,7.76,Regular,0.059352241,Dairy,101.87,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1697.79,M1_January,Amul
FDN04,11.8,Regular,0.014087057,Dairy,180.3344,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1427.4752,M1_January,Amul
FDV45,16.75,Regular,0.045230944,Dairy,187.9556,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,4693.89,M1_January,Amul
NCL18,,Regular,0.293417759,Dairy,194.6136,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,583.2408,M1_January,Amul
FDRegular2,,Regular,0.031382044,Dairy,171.3764,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,3091.9752,M1_January,Amul
FDG20,15.5,Regular,0.12639886,Dairy,177.0028,OUT017,2019,,Tier 2,Supermarket OUT-Pune,2479.4392,M1_January,Amul
FDZ55,6.055,Regular,0.025403898,Dairy,160.992,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,2716.464,M1_January,Amul
FDQ49,,Regular,0.039057677,Dairy,155.963,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,3285.723,M1_January,Amul
FDN33,6.305,Regular,0.123115764,Dairy,95.6436,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,661.8052,M1_January,Amul
FDN27,20.85,Regular,0.039624006,Dairy,117.2808,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,1523.3504,M1_January,Amul
FDW20,20.75,Regular,0.040421193,Dairy,122.173,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,369.519,M1_January,Amul
DRG27,8.895,Regular,0.105274111,Dairy,39.9138,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,690.4346,M1_January,Amul
DRI25,19.6,Regular,0.033970195,Dairy,55.1614,OUT045,2019,,Tier 2,Supermarket OUT-Pune,1381.535,M1_January,Amul
FDA44,19.7,Regular,0.053212652,Dairy,57.893,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,622.523,M1_January,Amul
NCRegular7,9.8,Regular,0.024378706,Dairy,114.5492,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,1274.3412,M1_January,Amul
FDU04,,Regular,0.009714595,Dairy,120.0414,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,487.3656,M1_January,Amul
FDF41,12.15,Regular,0.131383762,Dairy,246.046,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,1231.73,M1_January,Amul
FDB56,8.75,Regular,0.07461309,Dairy,187.4556,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,3755.112,M1_January,Amul
NCP18,,Regular,0.028459761,Dairy,149.9708,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,4363.6532,M1_January,Amul
FDB56,8.75,Regular,0.074627201,Dairy,187.8556,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,1314.2892,M1_January,Amul
FDT28,13.3,Regular,0.063695084,Dairy,151.0708,OUT045,2019,,Tier 2,Supermarket OUT-Pune,1805.6496,M1_January,Amul
FDD10,,Regular,0.045797829,Dairy,178.5344,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,2854.9504,M1_January,Amul
FDW57,8.31,Regular,0.115857223,Dairy,179.1028,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,3896.2616,M1_January,Amul
DRB48,16.75,Regular,0.024832806,Dairy,38.7822,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,667.7974,M1_January,Amul
FDP09,19.75,Regular,0.034027909,Dairy,212.0902,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,3185.853,M1_January,Amul
FDH14,17.1,Regular,0.0467696,Dairy,141.1838,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,2247.7408,M1_January,Amul
FDA47,10.5,Regular,0.116576702,Dairy,163.121,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,1794.331,M1_January,Amul
FDG12,6.635,Regular,0,Dairy,121.3098,OUT045,2019,,Tier 2,Supermarket OUT-Pune,2530.7058,M1_January,Amul
DRE60,,Regular,0.278974075,Dairy,225.372,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,679.116,M1_January,Amul
DRK49,14.15,Regular,0.035913805,Dairy,41.4138,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,812.276,M1_January,Amul
FDD03,13.3,Regular,0.079806266,Dairy,232.53,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,699.09,M1_January,Amul
FDS52,8.89,Regular,0.005505481,Dairy,102.4016,OUT017,2019,,Tier 2,Supermarket OUT-Pune,2732.4432,M1_January,Amul
FDW39,,Regular,0.064625342,Dairy,176.937,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,176.437,M1_January,Amul
FDX34,,Regular,0.071636937,Dairy,121.7098,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,4097.3332,M1_January,Amul
FDV11,9.1,Regular,0,Dairy,173.2054,OUT045,2019,,Tier 2,Supermarket OUT-Pune,3151.8972,M1_January,Amul
FDD17,7.5,Regular,0.032677678,Dairy,239.0906,OUT049,2019,Medium,Tier 1,Supermarket OUT-Pune,5942.265,M1_January,Amul
FDZ16,16.85,Regular,0.160760054,Dairy,192.4478,OUT017,2019,,Tier 2,Supermarket OUT-Pune,4843.695,M1_January,Amul
FDZ46,7.485,Regular,0.06911065,Dairy,109.0228,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,2542.0244,M1_January,Amul
DRA12,11.6,Regular,0.041177505,Dairy,140.3154,OUT017,2019,,Tier 2,Supermarket OUT-Pune,2552.6772,M1_January,Amul
FDY58,11.65,Regular,0.040081193,Dairy,227.0694,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,1141.847,M1_January,Amul
NCF19,13,Regular,0.035307322,Dairy,47.5034,OUT017,2019,,Tier 2,Supermarket OUT-Pune,680.4476,M1_January,Amul
DRJ13,12.65,Regular,0.063017847,Dairy,159.0578,OUT045,2019,,Tier 2,Supermarket OUT-Pune,2085.9514,M1_January,Amul
FDB14,20.25,Regular,0.171938781,Dairy,92.512,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,186.424,M1_January,Amul
FDJ38,8.6,Regular,0.040197932,Dairy,190.153,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,3036.048,M1_January,Amul
FDW11,12.6,Regular,0.049058014,Dairy,62.7194,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,866.8716,M1_January,Amul
FDL40,17.7,Regular,0.01161096,Dairy,95.041,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,868.869,M1_January,Amul
DRI49,14.15,Regular,0.183507295,Dairy,82.4276,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1137.1864,M1_January,Amul
FDV38,19.25,Regular,0.102349519,Dairy,52.7956,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,928.1252,M1_January,Amul
DRG23,8.88,Regular,0.086708987,Dairy,151.7682,OUT013,2019,High,Tier 3,Supermarket OUT-Solapur,762.341,M1_January,Amul
NCP30,20.5,Regular,0.032835147,Dairy,40.2822,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,707.0796,M1_January,Amul
FDY25,,Regular,0.033809913,Dairy,180.5976,OUT027,2019,Medium,Tier 3,Supermarket OUT-Solapur,7968.2944,M1_January,Amul
NCH54,13.5,Regular,0.07266912,Dairy,160.292,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1438.128,M1_January,Amul
NCR53,,Regular,0.144338493,Dairy,224.4404,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,6976.2524,M1_January,Amul
FDS52,8.89,Regular,0.009163216,Dairy,101.7016,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,101.2016,M1_January,Amul
FDG02,7.855,Regular,0.011307038,Dairy,188.5188,OUT018,2019,Medium,Tier 3,Supermarket OUT-Solapur,952.094,M1_January,Amul
NCO26,7.235,Regular,0.076855628,Dairy,116.0492,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,1969.4364,M1_January,Amul
FDH35,,Regular,0.059956876,Dairy,165.4526,OUT027,2019,Medium,Tier 3,Supermarket OUT-Solapur,5262.4832,M1_January,Amul
FDB51,6.92,Regular,0.038532062,Dairy,60.5852,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,1314.2892,M1_January,Amul
FDX44,9.3,Regular,0.043209581,Dairy,90.8172,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,535.3032,M1_January,Amul
NCN07,18.5,Regular,0.056816465,Dairy,132.1284,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,263.6568,M1_January,Amul
NCC31,8.02,Regular,0.019866705,Dairy,154.5972,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,1402.1748,M1_January,Amul
NCX54,9.195,Regular,0.048331717,Dairy,105.1622,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,1693.7952,M1_January,Amul
NCO55,12.8,Regular,0.091221855,Dairy,105.5938,OUT045,2019,,Tier 2,Supermarket OUT-Solapur,2143.876,M1_January,Amul
NCC30,16.6,Regular,0.027622076,Dairy,177.6344,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,2676.516,M1_January,Amul
FDI16,14,Regular,0,Dairy,53.064,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,905.488,M1_January,Amul
FDP16,18.6,Regular,0.039355947,Dairy,246.3802,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,7370.406,M1_January,Amul
FDB11,16,Regular,0.060836524,Dairy,226.8404,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,6301.1312,M1_January,Amul
NCB06,17.6,Regular,0.082316506,Dairy,160.692,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,1597.92,M1_January,Amul
FDA45,21.25,Regular,0.155350299,Dairy,178.237,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,529.311,M1_January,Amul
NCO26,7.235,Regular,0.076841095,Dairy,117.5492,OUT035,2019,Small,Tier 2,Supermarket OUT-Solapur,1969.4364,M1_January,Amul
DRJ25,14.6,Regular,0.151419185,Dairy,50.3692,OUT017,2019,,Tier 2,Supermarket OUT-Solapur,1034.6532,M1_January,Amul
FDR28,13.85,Regular,0.026001976,Dairy,161.521,OUT018,2019,Medium,Tier 3,Supermarket OUT-Solapur,1794.331,M1_January,Amul
FDI04,13.65,Regular,0.073209447,Dairy,197.6426,OUT018,2019,Medium,Tier 3,Supermarket OUT-Solapur,2768.3964,M1_January,Amul
DRK12,,Regular,0.041683481,Dairy,31.29,OUT027,2019,Medium,Tier 3,Supermarket OUT-Solapur,898.83,M1_January,Amul
FDX20,7.365,Regular,0.042560252,Dairy,226.172,OUT046,2019,Small,Tier 1,Supermarket OUT-Solapur,3169.208,M1_January,Amul
NCI18,18.35,Regular,0.014081156,Dairy,223.5746,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,3589.9936,M1_January,Amul
FDB36,5.465,Regular,0,Dairy,132.5626,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,262.3252,M1_January,Amul
FDN13,18.6,Regular,0.152918384,Dairy,99.8358,OUT017,2019,,Tier 2,Supermarket OUT-Pune,1910.1802,M1_January,Amul
DRD24,13.85,Regular,0.030969274,Dairy,140.9154,OUT017,2019,,Tier 2,Supermarket OUT-Pune,1701.7848,M1_January,Amul
FDQ28,14,Regular,0.060376776,Dairy,154.5656,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,2471.4496,M1_January,Amul
FDM22,14,Regular,0.04192285,Dairy,54.764,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,1331.6,M1_January,Amul
FDR07,,Regular,0.077367431,Dairy,97.0094,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,1808.9786,M1_January,Amul
FDV25,5.905,Regular,0.045838211,Dairy,222.5456,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,3315.684,M1_January,Amul
DRF49,7.27,Regular,0.071077939,Dairy,114.2518,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,2618.5914,M1_January,Amul
FDW51,6.155,Regular,0.094659871,Dairy,214.556,OUT046,2019,Small,Tier 1,Supermarket OUT-Pune,2769.728,M1_January,Amul
DRL01,19.5,Regular,0.077608838,Dairy,233.4958,OUT017,2019,,Tier 2,Supermarket OUT-Pune,5375.0034,M1_January,Amul
FDP25,15.2,Regular,0.021327477,Dairy,216.8824,OUT017,2019,,Tier 2,Supermarket OUT-Pune,2838.9712,M1_January,Amul
FDL50,12.15,Regular,0.042485444,Dairy,125.0046,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,1743.0644,M1_January,Amul
NCB30,,Regular,0.025578526,Dairy,198.8084,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,5555.4352,M1_January,Amul
FDW11,12.6,Regular,0.0489808,Dairy,61.9194,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,619.194,M1_January,Amul
NCM43,14.5,Regular,0.019471688,Dairy,164.821,OUT035,2019,Small,Tier 2,Supermarket OUT-Pune,2120.573,M1_January,Amul
FDK44,16.6,Regular,0.122918852,Dairy,173.0738,OUT017,2019,,Tier 2,Supermarket OUT-Pune,3823.0236,M1_January,Amul
FDM15,11.8,Regular,0.057373797,Dairy,151.4366,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,1360.2294,M1_January,Amul
FDS31,13.1,Regular,0.044155597,Dairy,178.8318,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,3969.4996,M1_January,Amul
FDI32,17.7,Regular,0.291865402,Dairy,115.1834,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,345.5502,M1_January,Amul
FDR47,17.85,Regular,0,Dairy,196.5794,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,585.2382,M1_January,Amul
FDB35,12.3,Regular,0.064750025,Dairy,92.6804,OUT045,2019,,Tier 2,Supermarket OUT-Pune,1010.6844,M1_January,Amul
NCU05,11.8,Regular,0.098312421,Dairy,81.4618,OUT010,2019,,Tier 3,Supermarket OUT-Solapur,161.1236,M1_January,Amul
DRY23,,Regular,0.191013663,Dairy,42.1112,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,42.6112,M1_January,Amul
FDO24,11.1,Regular,0.176573035,Dairy,157.4604,OUT045,2019,,Tier 2,Supermarket OUT-Pune,3010.7476,M1_January,Amul
FDQ28,,Regular,0.060134441,Dairy,153.0656,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,6024.1584,M1_January,Amul
FDV39,11.3,Regular,0.007294652,Dairy,198.1426,OUT045,2019,,Tier 2,Supermarket OUT-Pune,988.713,M1_January,Amul
NCO17,,Regular,0.128478462,Dairy,117.944,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,239.688,M1_January,Amul
FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,2019,High,Tier 3,Supermarket OUT-Pune,1374.2112,M1_January,Amul
FDT12,,Regular,0.049381406,Dairy,226.8062,OUT027,2019,Medium,Tier 3,Supermarket OUT-Nashik,4739.8302,M1_January,Amul
FDK58,11.35,Regular,0.045165796,Dairy,100.0016,OUT018,2019,Medium,Tier 3,Supermarket OUT-Mumbai,1012.016,M1_January,Amul
FDO08,,Regular,0.09415375,Dairy,165.7526,OUT019,2019,Small,Tier 1,Supermarket OUT-Solapur,657.8104,M1_January,Amul
NCW29,14,Regular,0.028907832,Dairy,130.431,OUT049,2019,Medium,Tier 1,Supermarket OUT-Solapur,778.986,M1_January,Amul
