Subject,timepoint,event,region,signal
s13,11,stim,frontal,-0.114215411267
s1,12,stim,frontal,-0.093410707637
s4,14,stim,frontal,-0.0706921364543
s2,12,stim,frontal,-0.027012441705900003
s9,15,stim,frontal,-0.0480074675662
s4,12,stim,frontal,-0.0804438088945
s5,12,stim,frontal,-0.07953805172339999
s6,12,stim,frontal,-0.155545872019
s7,12,stim,frontal,-0.042475087106300005
s8,12,stim,frontal,-0.0968252969745
s9,12,stim,frontal,-0.0836627537109
s10,12,stim,frontal,-0.019424671253
s11,12,stim,frontal,-0.115368780071
s12,12,stim,frontal,-0.032615656200900005
s13,12,stim,frontal,-0.0900874242966
s0,13,stim,frontal,0.00332982586024
s1,13,stim,frontal,-0.0527141572176
s2,13,stim,frontal,-0.016092268153799997
s3,13,stim,frontal,-0.107386192502
s4,13,stim,frontal,-0.0712268148965
s5,13,stim,frontal,-0.0546139708001
s6,13,stim,frontal,-0.132768265808
s7,13,stim,frontal,-0.0261645978151
s8,13,stim,frontal,-0.109370504289
s9,13,stim,frontal,-0.07548380610330001
s10,13,stim,frontal,-0.0137401688662
s11,13,stim,frontal,-0.0652446872829
s12,13,stim,frontal,-0.0326627425606
s13,13,stim,frontal,-0.055233993508
s0,14,stim,frontal,-0.00269970487539
s1,14,stim,frontal,-0.0210033263802
s2,14,stim,frontal,-0.0104289492969
s3,14,stim,frontal,-0.090362563636
s5,14,stim,frontal,-0.0376963150522
s3,12,stim,frontal,-0.103477352397
s7,14,stim,frontal,-0.000925176693984
s10,16,stim,frontal,-0.0030570150062900004
s9,14,stim,frontal,-0.06181713710300001
s10,14,stim,frontal,-0.0071620233331
s11,14,stim,frontal,-0.029557810763500007
s12,14,stim,frontal,-0.0397865885476
s13,14,stim,frontal,-0.022505925822099995
s0,15,stim,frontal,-0.0119660179605
s1,15,stim,frontal,-0.00513411267168
s2,15,stim,frontal,-0.0138457018672
s3,15,stim,frontal,-0.063136252215
s4,15,stim,frontal,-0.07093689687410001
s5,15,stim,frontal,-0.028026991808700004
s6,15,stim,frontal,-0.040139364069
s11,9,stim,frontal,-0.114304263592
s8,15,stim,frontal,-0.0848246341162
s10,15,stim,frontal,-0.00411803725385
s11,15,stim,frontal,-0.016906626259700002
s12,15,stim,frontal,-0.0496887494108
s13,15,stim,frontal,-7.56480581685e-05
s0,16,stim,frontal,-0.0213990846195
s1,16,stim,frontal,-0.0027187873155
s2,16,stim,frontal,-0.0306336275507
s3,16,stim,frontal,-0.0340231130191
s4,16,stim,frontal,-0.06593923040289999
s5,16,stim,frontal,-0.0268117820996
s6,16,stim,frontal,-0.00292560331781
s7,16,stim,frontal,0.0143006991188
s8,16,stim,frontal,-0.06450958840490001
s9,16,stim,frontal,-0.0367394383882
s0,17,stim,frontal,-0.0393222656115
s8,14,stim,frontal,-0.102197957935
s7,15,stim,frontal,0.015163029763
s11,16,stim,frontal,-0.0207952752934
s2,18,stim,frontal,-0.058470978469199984
s12,16,stim,frontal,-0.05946202186430001
s2,17,stim,frontal,-0.0490784875502
s3,17,stim,frontal,-0.0144004460979
s4,17,stim,frontal,-0.0625056570924
s5,17,stim,frontal,-0.0299207089612
s6,17,stim,frontal,0.0385751908208
s7,17,stim,frontal,0.00121181141337
s8,17,stim,frontal,-0.042657390488300015
s9,17,stim,frontal,-0.0300992820085
s11,17,stim,frontal,-0.025345201288
s12,17,stim,frontal,-0.0601343617828
s13,17,stim,frontal,0.0234939806648
s0,18,stim,frontal,-0.0484297385322
s1,18,stim,frontal,-0.035852428488800006
s10,17,stim,frontal,-0.00457116262107
s3,18,stim,frontal,-0.0109204163368
s9,18,stim,frontal,-0.00995933986682
s1,17,stim,frontal,-0.015685861010700002
s0,0,stim,parietal,-0.0393266005945
s13,18,stim,frontal,0.0244253694066
s12,18,stim,frontal,-0.0623323445862
s11,18,stim,frontal,-0.0307844658374
s10,18,stim,frontal,-0.00892838562082
s13,16,stim,frontal,0.0140854627305
s8,18,stim,frontal,-0.0111144370761
s6,18,stim,frontal,0.0464997185079
s5,18,stim,frontal,-0.0310125612548
s4,18,stim,frontal,-0.0632631135055
s7,18,stim,frontal,-0.019634012602
s3,4,cue,parietal,0.0582186114962
s6,5,cue,parietal,0.0381453368558
s7,5,cue,parietal,-0.00815845041105
s8,5,cue,parietal,0.0471362245382
s9,5,cue,parietal,0.055847309598400015
s10,5,cue,parietal,0.0378916680876
s0,4,cue,parietal,0.11532113825
s1,4,cue,parietal,0.14924178269000002
s12,5,cue,parietal,0.047576637131
s7,2,cue,parietal,-0.0766085900041
s8,2,cue,parietal,-0.0215687171672
s9,2,cue,parietal,-0.00977918768745
s4,5,cue,parietal,0.186053377099
s5,5,cue,parietal,0.0286996754562
s2,4,cue,parietal,0.0484638721715
s3,5,cue,parietal,0.08890360175169999
s2,5,cue,parietal,0.00721563801485
s1,5,cue,parietal,0.215735229271
s0,5,cue,parietal,0.102043892318
s13,4,cue,parietal,0.0536918415969
s12,4,cue,parietal,0.058198039644
s11,4,cue,parietal,0.00801326082815
s10,4,cue,parietal,0.0341087612233
s9,4,cue,parietal,0.06118767496930001
s8,4,cue,parietal,0.0312011634308
s7,4,cue,parietal,-0.0463474492093
s6,4,cue,parietal,0.0222709335503
s5,4,cue,parietal,0.0515414564243
s4,4,cue,parietal,0.213117124571
s11,2,cue,parietal,-0.0548464730976
s10,2,cue,parietal,-0.0261177119822
s9,8,cue,parietal,-0.0398411196291
s12,2,cue,parietal,-0.00948510410683
s13,5,cue,parietal,0.08102674417780001
s4,14,cue,frontal,-0.0267960223096
s8,8,cue,parietal,-0.0234004944386
s7,8,cue,parietal,0.0183984526248
s6,8,cue,parietal,-0.056233739376
s5,8,cue,parietal,-0.0570726138705
s4,8,cue,parietal,-0.181240908779
s3,8,cue,parietal,-0.016938743479599998
s2,8,cue,parietal,-0.0774126485299
s1,8,cue,parietal,-0.0657555651727
s0,8,cue,parietal,-0.00273843592227
s13,7,cue,parietal,0.003324151435
s12,7,cue,parietal,-0.0103106697503
s10,7,cue,parietal,-0.039477242766
s5,14,cue,frontal,-0.0172127890483
s11,5,cue,parietal,0.0426131300884
s13,2,cue,parietal,-0.0293295919832
s13,3,cue,parietal,0.0007478637340930001
s12,3,cue,parietal,0.0302697426561
s11,3,cue,parietal,-0.0321585389528
s10,3,cue,parietal,0.0020683005827400003
s9,3,cue,parietal,0.0292979500758
s8,3,cue,parietal,-0.0008228869715830001
s7,3,cue,parietal,-0.0713861989094
s6,3,cue,parietal,-0.00929622159607
s5,3,cue,parietal,0.046518559180300005
s4,3,cue,parietal,0.129606378289
s3,3,cue,parietal,0.0147962077845
s2,3,cue,parietal,0.049428130400800005
s1,3,cue,parietal,0.0330026478324
s0,3,cue,parietal,0.08504010878260003
s9,0,cue,frontal,-0.00811691318458
s9,6,cue,frontal,0.0268635605066
s3,14,cue,frontal,-0.030613968525200007
s8,3,cue,frontal,-0.004987169077270001
s4,6,cue,frontal,0.0634867092855
s3,6,cue,frontal,0.0739015779525
s2,6,cue,frontal,-0.0544052334484
s1,6,cue,frontal,0.058831446676400015
s0,6,cue,frontal,0.050775750646000005
s13,5,cue,frontal,0.0567314714945
s12,5,cue,frontal,-0.00680544471978
s11,5,cue,frontal,0.0153010353095
s10,5,cue,frontal,-0.00896435593861
s9,5,cue,frontal,0.047047564862
s8,5,cue,frontal,0.0182597693007
s7,5,cue,frontal,-0.0179456487935
s5,5,cue,frontal,0.0358297688961
s0,7,cue,frontal,0.034597218947800004
s6,3,cue,frontal,0.00890078602149
s2,14,cue,frontal,0.0389961768097
s8,1,cue,frontal,-0.00470193318958
s7,1,cue,frontal,-0.0452318266602
s6,1,cue,frontal,0.0140633977838
s5,1,cue,frontal,-0.0184928851562
s4,1,cue,frontal,-0.0316738519857
s3,1,cue,frontal,0.000653061855057
s2,1,cue,frontal,-0.0105282937271
s1,1,cue,frontal,-0.0455804699351
s0,1,cue,frontal,0.0164397984053
s13,0,cue,frontal,-0.0125760065596
s12,0,cue,frontal,0.00523904905204
s11,0,cue,frontal,-0.0500327450639
s10,0,cue,frontal,-0.0124119927481
s11,8,cue,parietal,0.005470157629699999
s5,6,cue,frontal,0.0125509620527
s6,6,cue,frontal,-0.0214595499705
s7,6,cue,frontal,-0.00330716756452
s8,6,cue,frontal,0.0223742016999
s2,5,cue,frontal,-0.0134180232886
s1,5,cue,frontal,0.128592379736
s0,5,cue,frontal,0.06708639987119999
s13,4,cue,frontal,0.0587040696456
s12,4,cue,frontal,-0.0004570910724180001
s11,4,cue,frontal,-0.00453321687892
s10,4,cue,frontal,-0.0041326642896
s9,4,cue,frontal,0.0549092195229
s8,4,cue,frontal,0.00784968399311
s7,4,cue,frontal,-0.0308180082987
s6,4,cue,frontal,0.0024072842748800003
s5,4,cue,frontal,0.0408262184082
s4,4,cue,frontal,0.204170630974
s3,4,cue,frontal,0.0534429228294
s2,4,cue,frontal,0.0132118552959
s1,4,cue,frontal,0.112545102272
s0,4,cue,frontal,0.0697752064117
s13,3,cue,frontal,0.0341351352969
s12,3,cue,frontal,-0.00215893498758
s11,3,cue,frontal,-0.0368399595269
s10,3,cue,frontal,-0.0123926975795
s3,5,cue,frontal,0.0804468579247
s9,3,cue,frontal,0.0485983896956
s4,5,cue,frontal,0.188521242471
s6,5,cue,frontal,-0.007726105889909999
s13,6,cue,frontal,0.0224204348758
s12,6,cue,frontal,-0.00885467067635
s11,6,cue,frontal,0.00573408069619
s10,6,cue,frontal,-0.0274808039741
s10,8,cue,parietal,-0.0661645494002
s9,14,cue,frontal,0.0105354926644
s12,8,cue,parietal,-0.0174229360442
s12,17,cue,frontal,0.00367093318644
s8,1,cue,parietal,-0.0226751874055
s7,1,cue,parietal,-0.07413183656280001
s6,1,cue,parietal,-0.00428350321103
s5,1,cue,parietal,0.0100858382625
s4,1,cue,parietal,-0.0374294562033
s3,1,cue,parietal,-0.0215063507368
s2,1,cue,parietal,0.00106607278632
s1,1,cue,parietal,-0.0709318988341
s0,1,cue,parietal,0.000300322694975
s13,0,cue,parietal,-0.0183937339494
s12,0,cue,parietal,-0.0147968933344
s11,0,cue,parietal,-0.0518957509165
s10,0,cue,parietal,-0.0314295520884
s13,17,cue,frontal,-0.00419011651606
s11,17,cue,frontal,0.0737572737005
