pickup,dropoff,passengers,distance,fare,tip,tolls,total,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-27 14:36:19,2019-03-27 14:57:47,1,4.1,17.0,2.0,0.0,22.3,credit card,Union Sq,Financial District North,Manhattan,Manhattan
2019-03-14 23:56:54,2019-03-15 00:07:18,1,2.11,9.5,2.66,0.0,15.96,credit card,East Village,SoHo,Manhattan,Manhattan
2019-03-29 19:28:07,2019-03-29 19:34:32,2,1.3,6.5,1.62,0.0,12.42,credit card,UN/Turtle Bay South,Midtown East,Manhattan,Manhattan
2019-03-27 09:57:29,2019-03-27 10:26:09,1,0.9,16.5,4.95,0.0,24.75,credit card,Garment District,East Chelsea,Manhattan,Manhattan
2019-03-24 17:16:59,2019-03-24 17:30:22,3,2.0,10.5,0.0,0.0,13.8,cash,Flatiron,Midtown East,Manhattan,Manhattan
2019-03-08 10:47:44,2019-03-08 10:49:50,1,0.0,3.5,0.0,0.0,4.3,cash,,Queensbridge/Ravenswood,,Queens
2019-03-11 17:51:13,2019-03-11 18:00:22,1,1.4,8.0,0.0,0.0,12.3,cash,Greenwich Village North,Midtown South,Manhattan,Manhattan
2019-03-24 09:08:55,2019-03-24 09:11:14,1,0.5,4.0,0.0,0.0,7.3,cash,Upper West Side North,Upper West Side South,Manhattan,Manhattan
2019-03-09 18:53:55,2019-03-09 19:13:32,1,1.7,12.5,3.15,0.0,18.95,credit card,Hudson Sq,East Village,Manhattan,Manhattan
2019-03-07 11:57:34,2019-03-07 12:05:26,1,0.86,6.5,0.98,0.0,10.78,credit card,Times Sq/Theatre District,Central Park,Manhattan,Manhattan
2019-03-25 07:49:34,2019-03-25 07:57:52,1,0.9,7.0,0.0,0.0,7.8,cash,Kingsbridge Heights,Inwood,Bronx,Manhattan
2019-03-16 13:44:39,2019-03-16 13:59:26,1,0.7,9.5,0.0,0.0,12.8,cash,Clinton East,Murray Hill,Manhattan,Manhattan
2019-03-02 23:21:53,2019-03-02 23:38:18,1,5.41,18.5,4.46,0.0,26.76,credit card,Yorkville West,Lower East Side,Manhattan,Manhattan
2019-03-27 08:35:28,2019-03-27 08:46:54,1,1.07,8.5,1.0,0.0,12.8,credit card,East Chelsea,Clinton East,Manhattan,Manhattan
2019-03-08 13:03:46,2019-03-08 13:12:43,1,0.82,7.5,1.08,0.0,11.88,credit card,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-05 17:56:27,2019-03-05 18:19:17,3,2.7,16.0,5.05,0.0,25.35,credit card,Upper East Side North,Midtown Center,Manhattan,Manhattan
2019-03-21 21:00:23,2019-03-21 21:05:41,1,1.0,6.0,0.98,0.0,10.78,credit card,Lincoln Square East,Upper West Side South,Manhattan,Manhattan
2019-03-23 10:50:33,2019-03-23 11:02:53,1,3.09,12.5,3.16,0.0,18.96,credit card,Times Sq/Theatre District,Long Island City/Hunters Point,Manhattan,Queens
2019-03-16 00:56:54,2019-03-16 01:12:47,1,2.39,12.0,3.16,0.0,18.96,credit card,Union Sq,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-09 17:29:15,2019-03-09 17:56:45,2,3.0,18.0,0.0,0.0,21.3,cash,Penn Station/Madison Sq West,Alphabet City,Manhattan,Manhattan
2019-03-07 12:58:38,2019-03-07 13:22:15,1,4.44,17.5,0.0,0.0,21.3,cash,Greenwich Village South,Boerum Hill,Manhattan,Brooklyn
2019-03-30 15:52:00,2019-03-30 15:57:03,3,0.9,5.5,1.32,0.0,10.12,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-24 13:58:52,2019-03-24 14:08:49,3,1.6,8.5,0.0,0.0,11.8,cash,Little Italy/NoLiTa,Gramercy,Manhattan,Manhattan
2019-03-19 15:30:03,2019-03-19 16:04:31,1,7.8,28.5,7.95,0.0,39.75,credit card,Midtown Center,Washington Heights South,Manhattan,Manhattan
2019-03-17 03:31:05,2019-03-17 03:36:19,1,1.01,6.0,1.0,0.0,10.8,credit card,Gramercy,Union Sq,Manhattan,Manhattan
2019-03-22 14:41:37,2019-03-22 14:48:36,2,1.0,6.5,1.45,0.0,8.75,credit card,Boerum Hill,Brooklyn Heights,Brooklyn,Brooklyn
2019-03-15 09:01:57,2019-03-15 09:11:16,1,1.07,7.5,3.24,0.0,14.04,credit card,Times Sq/Theatre District,Upper East Side South,Manhattan,Manhattan
2019-03-11 09:43:36,2019-03-11 09:59:38,1,1.79,11.5,0.0,0.0,14.8,cash,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019-03-01 13:13:03,2019-03-01 13:31:59,1,1.84,13.0,0.0,0.0,16.3,cash,East Chelsea,Midtown Center,Manhattan,Manhattan
2019-03-12 16:15:31,2019-03-12 16:26:01,1,0.82,7.5,0.0,0.0,11.8,cash,Yorkville East,Upper East Side South,Manhattan,Manhattan
2019-03-15 19:50:09,2019-03-15 19:56:00,1,0.8,5.5,0.0,0.0,9.8,cash,Upper East Side North,Yorkville East,Manhattan,Manhattan
2019-03-30 16:00:14,2019-03-30 16:05:55,2,1.04,6.0,1.86,0.0,11.16,credit card,Central Park,Upper East Side South,Manhattan,Manhattan
2019-03-01 08:20:39,2019-03-01 08:23:03,3,0.4,4.0,1.0,0.0,8.3,credit card,East Chelsea,West Chelsea/Hudson Yards,Manhattan,Manhattan
2019-03-04 08:39:54,2019-03-04 08:46:47,1,0.9,6.0,1.85,0.0,11.15,credit card,Garment District,Midtown Center,Manhattan,Manhattan
2019-03-31 01:35:49,2019-03-31 01:45:33,1,1.28,8.0,2.36,0.0,14.16,credit card,Two Bridges/Seward Park,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-04 13:08:15,2019-03-04 13:32:59,1,4.04,18.5,0.0,0.0,21.8,cash,Morningside Heights,Midtown Center,Manhattan,Manhattan
2019-03-17 12:40:12,2019-03-17 12:54:44,1,3.27,13.0,2.0,0.0,18.3,credit card,Lenox Hill West,Morningside Heights,Manhattan,Manhattan
2019-03-12 01:48:19,2019-03-12 02:01:07,2,3.2,12.0,3.15,0.0,18.95,credit card,East Village,Clinton East,Manhattan,Manhattan
2019-03-30 18:49:45,2019-03-30 18:52:40,1,0.46,4.0,0.0,0.0,7.3,cash,Midtown Center,Midtown East,Manhattan,Manhattan
2019-03-24 09:20:32,2019-03-24 09:29:11,1,1.5,8.0,1.13,0.0,12.43,credit card,Upper West Side North,Lincoln Square East,Manhattan,Manhattan
2019-03-08 20:58:22,2019-03-08 21:07:48,1,1.9,9.0,0.0,0.0,10.3,cash,Astoria,Steinway,Queens,Queens
2019-03-13 14:14:27,2019-03-13 14:18:01,1,0.51,4.5,0.0,0.0,7.8,cash,Gramercy,Greenwich Village North,Manhattan,Manhattan
2019-03-15 09:49:29,2019-03-15 10:08:33,2,1.87,13.0,2.44,0.0,18.74,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan
2019-03-10 20:03:25,2019-03-10 20:25:25,1,9.2,27.5,9.2,0.0,40.0,credit card,LaGuardia Airport,Greenwich Village South,Queens,Manhattan
2019-03-18 07:03:21,2019-03-18 07:36:22,1,13.87,40.0,0.0,5.76,46.56,credit card,Erasmus,Lenox Hill East,Brooklyn,Manhattan
2019-03-15 13:07:33,2019-03-15 13:11:20,1,0.75,5.0,1.2,0.0,7.0,credit card,Central Harlem,Manhattan Valley,Manhattan,Manhattan
2019-03-29 18:34:14,2019-03-29 18:44:52,1,0.9,8.0,1.23,0.0,13.53,credit card,Meatpacking/West Village West,Greenwich Village South,Manhattan,Manhattan
2019-03-17 13:51:33,2019-03-17 13:55:57,1,0.72,5.0,0.0,0.0,8.3,cash,Central Park,Central Park,Manhattan,Manhattan
2019-03-29 10:54:26,2019-03-29 11:27:36,2,3.6,21.0,5.0,0.0,29.3,credit card,Midtown North,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-10 03:26:27,2019-03-10 03:40:15,1,2.25,11.5,3.06,0.0,18.36,credit card,East Chelsea,Murray Hill,Manhattan,Manhattan
2019-03-07 12:42:17,2019-03-07 12:54:00,1,1.46,9.0,1.0,0.0,13.3,credit card,Midtown East,Midtown East,Manhattan,Manhattan
2019-03-02 02:38:22,2019-03-02 02:40:16,1,0.2,3.5,0.0,0.0,7.3,cash,West Village,Flatiron,Manhattan,Manhattan
2019-03-14 15:26:27,2019-03-14 15:47:40,1,2.6,15.0,2.75,0.0,21.05,credit card,Flatiron,Clinton West,Manhattan,Manhattan
2019-03-13 21:21:51,2019-03-13 21:23:38,2,0.11,3.0,0.0,0.0,4.3,cash,JFK Airport,JFK Airport,Queens,Queens
2019-03-18 12:28:19,2019-03-18 12:40:05,1,0.8,8.5,1.0,0.0,12.8,credit card,Murray Hill,Garment District,Manhattan,Manhattan
2019-03-14 19:10:54,2019-03-14 19:31:30,1,2.1,13.5,0.0,0.0,17.8,cash,Upper East Side South,Clinton East,Manhattan,Manhattan
2019-03-19 12:33:58,2019-03-19 12:47:13,1,1.48,9.5,2.56,0.0,15.36,credit card,Upper East Side South,Murray Hill,Manhattan,Manhattan
2019-03-11 20:32:18,2019-03-11 20:46:43,2,3.37,12.5,2.44,0.0,18.74,credit card,Union Sq,Lenox Hill East,Manhattan,Manhattan
2019-03-15 11:18:55,2019-03-15 11:28:54,1,0.8,7.5,0.0,0.0,10.8,cash,Flatiron,Garment District,Manhattan,Manhattan
2019-03-20 13:50:09,2019-03-20 14:07:47,1,2.6,13.0,0.0,0.0,16.3,cash,TriBeCa/Civic Center,Fort Greene,Manhattan,Brooklyn
2019-03-12 07:27:10,2019-03-12 08:38:53,1,17.6,52.0,12.2,5.76,73.26,credit card,JFK Airport,Midtown South,Queens,Manhattan
2019-03-07 15:26:10,2019-03-07 15:49:46,1,5.43,20.0,4.66,0.0,27.96,credit card,Financial District South,Murray Hill,Manhattan,Manhattan
2019-03-09 12:04:36,2019-03-09 12:15:52,2,1.43,8.5,1.0,0.0,12.8,credit card,Midtown South,East Chelsea,Manhattan,Manhattan
2019-03-25 01:03:05,2019-03-25 01:11:13,1,4.52,14.0,3.0,0.0,20.8,credit card,Washington Heights South,Upper West Side South,Manhattan,Manhattan
2019-03-18 21:27:11,2019-03-18 21:32:24,2,0.96,5.5,0.0,0.0,9.3,cash,Kips Bay,Kips Bay,Manhattan,Manhattan
2019-03-15 22:04:07,2019-03-15 22:08:37,1,0.46,5.0,1.0,0.0,9.8,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
2019-03-28 09:38:24,2019-03-28 09:54:16,1,2.02,11.5,2.96,0.0,17.76,credit card,Times Sq/Theatre District,Flatiron,Manhattan,Manhattan
2019-03-16 16:48:34,2019-03-16 17:04:56,1,2.1,12.0,3.05,0.0,18.35,credit card,East Chelsea,SoHo,Manhattan,Manhattan
2019-03-13 21:22:59,2019-03-13 21:41:56,2,4.6,16.5,4.05,0.0,24.35,credit card,UN/Turtle Bay South,Central Harlem,Manhattan,Manhattan
2019-03-07 16:15:46,2019-03-07 16:28:44,2,2.61,11.0,0.0,0.0,15.3,credit card,Upper West Side South,Central Harlem,Manhattan,Manhattan
2019-03-23 19:47:00,2019-03-23 20:02:32,4,1.6,10.5,4.1,0.0,17.9,credit card,Midtown North,East Chelsea,Manhattan,Manhattan
2019-03-06 12:06:51,2019-03-06 12:17:57,2,0.53,8.0,2.26,0.0,13.56,credit card,Midtown South,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-07 12:34:19,2019-03-07 13:00:04,3,2.56,16.0,3.86,0.0,23.16,credit card,Upper West Side South,Midtown Center,Manhattan,Manhattan
2019-03-21 21:33:35,2019-03-21 22:06:52,5,10.33,34.5,4.41,5.76,48.47,credit card,Midtown South,Forest Hills,Manhattan,Queens
2019-03-04 16:45:39,2019-03-04 16:56:09,1,3.21,11.0,3.06,0.0,18.36,credit card,Union Sq,Union Sq,Manhattan,Manhattan
2019-03-31 02:21:16,2019-03-31 02:26:55,5,0.94,5.5,1.86,0.0,11.16,credit card,Kips Bay,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-30 17:43:36,2019-03-30 17:47:45,1,1.53,6.0,0.0,0.0,9.3,cash,East Harlem South,Lenox Hill West,Manhattan,Manhattan
2019-03-07 18:49:26,2019-03-07 19:06:44,1,2.4,12.5,0.0,0.0,16.8,cash,Lincoln Square East,Union Sq,Manhattan,Manhattan
2019-03-16 13:04:22,2019-03-16 13:17:09,1,1.5,9.5,3.2,0.0,16.0,credit card,Gramercy,Garment District,Manhattan,Manhattan
2019-03-01 01:38:08,2019-03-01 01:52:43,1,2.4,12.0,2.0,0.0,17.8,credit card,Murray Hill,Alphabet City,Manhattan,Manhattan
2019-03-31 08:47:03,2019-03-31 09:06:53,1,10.0,29.0,0.0,5.76,38.06,,Lenox Hill West,LaGuardia Airport,Manhattan,Queens
2019-03-31 14:20:39,2019-03-31 15:09:46,2,19.04,52.0,12.21,5.76,73.27,credit card,Lower East Side,JFK Airport,Manhattan,Queens
2019-03-30 23:58:21,2019-03-31 00:09:12,1,2.8,11.0,2.22,0.0,17.02,credit card,East Chelsea,Upper West Side South,Manhattan,Manhattan
2019-03-13 10:57:49,2019-03-13 11:27:00,2,3.32,19.0,4.46,0.0,26.76,credit card,Central Park,Gramercy,Manhattan,Manhattan
2019-03-04 13:19:00,2019-03-04 13:28:26,1,1.2,7.5,2.16,0.0,12.96,credit card,East Chelsea,Union Sq,Manhattan,Manhattan
2019-03-25 05:46:09,2019-03-25 06:09:32,1,16.6,52.0,0.0,5.76,61.06,credit card,Gramercy,JFK Airport,Manhattan,Queens
2019-03-28 18:00:33,2019-03-28 18:57:36,1,18.2,52.0,0.0,5.76,65.56,credit card,JFK Airport,Sutton Place/Turtle Bay North,Queens,Manhattan
2019-03-14 07:57:05,2019-03-14 08:21:32,1,6.17,22.5,5.16,0.0,30.96,credit card,Financial District North,Midtown North,Manhattan,Manhattan
2019-03-02 18:42:15,2019-03-02 18:54:45,1,1.73,9.5,2.56,0.0,15.36,credit card,UN/Turtle Bay South,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-06 14:20:40,2019-03-06 14:29:16,1,0.9,7.0,2.05,0.0,12.35,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-09 16:56:47,2019-03-09 17:09:33,1,1.63,10.0,2.66,0.0,15.96,credit card,Central Park,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-27 20:05:04,2019-03-27 20:12:09,1,1.0,6.5,2.05,0.0,12.35,credit card,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-27 17:45:47,2019-03-27 17:55:13,2,1.34,8.0,0.0,0.0,12.3,cash,Midtown East,Upper East Side South,Manhattan,Manhattan
2019-03-25 15:50:55,2019-03-25 15:58:40,5,1.0,6.5,0.98,0.0,10.78,credit card,Midtown Center,Murray Hill,Manhattan,Manhattan
2019-03-12 16:53:45,2019-03-12 16:57:55,2,0.6,5.0,1.75,0.0,11.05,credit card,Union Sq,East Chelsea,Manhattan,Manhattan
2019-03-23 23:07:28,2019-03-23 23:14:07,1,0.74,6.0,1.96,0.0,11.76,credit card,Murray Hill,Midtown South,Manhattan,Manhattan
2019-03-27 20:59:49,2019-03-27 21:17:21,1,3.6,14.5,0.0,0.0,18.3,cash,Sutton Place/Turtle Bay North,Upper West Side North,Manhattan,Manhattan
2019-03-23 02:30:57,2019-03-23 02:54:32,2,4.1,19.0,6.84,0.0,29.64,credit card,East Village,Greenpoint,Manhattan,Brooklyn
2019-03-09 16:48:02,2019-03-09 16:57:45,1,1.0,7.5,2.15,0.0,12.95,credit card,East Chelsea,West Village,Manhattan,Manhattan
2019-03-21 22:40:59,2019-03-21 23:10:35,1,5.17,23.0,6.7,0.0,33.5,credit card,Battery Park City,Williamsburg (North Side),Manhattan,Brooklyn
2019-03-03 00:21:58,2019-03-03 00:24:37,1,0.7,4.5,2.05,0.0,10.35,credit card,Murray Hill,Midtown East,Manhattan,Manhattan
2019-03-08 04:41:33,2019-03-08 05:03:36,1,16.2,52.0,0.0,5.76,61.06,cash,Garment District,JFK Airport,Manhattan,Queens
2019-03-15 10:26:51,2019-03-15 10:33:00,1,0.9,6.0,1.5,0.0,10.8,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
2019-03-04 07:38:19,2019-03-04 07:49:28,1,2.3,10.0,2.65,0.0,15.95,credit card,Penn Station/Madison Sq West,Lenox Hill West,Manhattan,Manhattan
2019-03-14 10:17:22,2019-03-14 10:47:09,1,1.1,17.5,0.0,0.0,20.8,cash,UN/Turtle Bay South,Midtown Center,Manhattan,Manhattan
2019-03-24 09:42:19,2019-03-24 09:50:16,1,1.56,8.0,0.0,0.0,8.8,credit card,Canarsie,Flatlands,Brooklyn,Brooklyn
2019-03-21 11:14:45,2019-03-21 11:29:22,2,1.22,10.0,0.0,0.0,13.3,cash,Midtown Center,Garment District,Manhattan,Manhattan
2019-03-11 23:48:53,2019-03-12 00:06:12,1,4.8,16.5,1.0,0.0,21.3,credit card,Clinton East,TriBeCa/Civic Center,Manhattan,Manhattan
2019-03-09 19:03:24,2019-03-09 19:14:24,2,1.12,8.0,2.82,0.0,14.12,credit card,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-10 12:58:50,2019-03-10 13:05:34,2,1.05,6.5,1.47,0.0,11.27,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan
2019-03-02 07:07:23,2019-03-02 07:13:11,1,0.93,6.0,0.0,0.0,9.3,cash,Upper East Side North,Yorkville East,Manhattan,Manhattan
2019-03-08 20:35:55,2019-03-08 20:46:43,1,1.04,8.0,0.0,0.0,11.8,cash,Midtown Center,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-03 13:22:11,2019-03-03 13:41:52,1,3.8,15.0,0.0,0.0,18.3,cash,Financial District South,Garment District,Manhattan,Manhattan
2019-03-04 07:16:57,2019-03-04 07:28:50,2,2.12,10.5,2.76,0.0,16.56,credit card,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-01 17:10:09,2019-03-01 17:20:05,2,0.0,7.0,1.0,0.0,12.3,credit card,Central Park,Upper East Side North,Manhattan,Manhattan
2019-03-24 02:08:25,2019-03-24 02:10:37,2,0.46,3.5,1.46,0.0,8.76,credit card,Lenox Hill East,Lenox Hill West,Manhattan,Manhattan
2019-03-25 21:15:55,2019-03-25 21:43:57,6,2.94,19.0,6.84,0.0,29.64,credit card,Midtown East,Long Island City/Hunters Point,Manhattan,Queens
2019-03-20 09:31:45,2019-03-20 09:54:10,1,1.74,14.0,0.0,0.0,17.3,cash,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
2019-03-27 18:54:44,2019-03-27 19:06:43,1,1.64,9.5,2.76,0.0,16.56,credit card,East Chelsea,East Village,Manhattan,Manhattan
2019-03-29 23:25:58,2019-03-29 23:37:55,1,3.37,12.0,5.0,0.0,20.8,credit card,Times Sq/Theatre District,East Harlem South,Manhattan,Manhattan
2019-03-07 23:09:09,2019-03-07 23:14:34,2,1.13,6.0,0.0,0.0,9.8,cash,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019-03-08 15:35:53,2019-03-08 15:48:15,1,1.5,9.5,0.0,0.0,12.8,cash,World Trade Center,SoHo,Manhattan,Manhattan
2019-03-07 10:17:24,2019-03-07 10:32:34,1,1.6,10.5,2.75,0.0,16.55,credit card,SoHo,Union Sq,Manhattan,Manhattan
2019-03-02 17:49:05,2019-03-02 17:56:01,1,0.61,6.0,1.7,0.0,8.5,credit card,,,,
