Date,Price
1932-05-01,51.85
1932-06-01,46.85
1932-07-01,47.75
1932-08-01,64.4
1932-09-01,71.0
1932-10-01,65.3
1932-11-01,62.2
1932-12-01,58.85
1933-01-01,61.85
1933-02-01,55.15
1933-03-01,57.75
1933-04-01,66.7
1933-05-01,83.3
1933-06-01,93.8
1933-07-01,98.55
1933-08-01,98.85
1933-09-01,99.45
1933-10-01,91.65
1933-11-01,95.45
1933-12-01,99.05
1934-01-01,102.85
1934-02-01,106.9
1934-03-01,102.3
1934-04-01,103.55
1934-05-01,96.2
1934-06-01,95.9
1934-07-01,92.25
1934-08-01,91.6
1934-09-01,90.2
1934-10-01,93.0
1934-11-01,98.3
1934-12-01,101.8
1935-01-01,103.2
1935-02-01,103.7
1935-03-01,100.0
1935-04-01,105.45
1935-05-01,112.75
1935-06-01,115.25
1935-07-01,122.65
1935-08-01,126.95
1935-09-01,130.7
1935-10-01,134.8
1935-11-01,144.75
1935-12-01,141.7
1936-01-01,146.3
1936-02-01,152.0
1936-03-01,154.6
1936-04-01,152.85
1936-05-01,149.5
1936-06-01,155.0
1936-07-01,162.25
1936-08-01,164.95
1936-09-01,167.4
1936-10-01,172.95
1936-11-01,180.8
1936-12-01,179.05
1937-01-01,182.3
1937-02-01,188.4
1937-03-01,187.1
1937-04-01,177.65
1937-05-01,171.9
1937-06-01,170.3
1937-07-01,177.85
1937-08-01,182.95
1937-09-01,160.25
1937-10-01,139.9
1937-11-01,124.75
1937-12-01,124.35
1938-01-01,127.25
1938-02-01,125.45
1938-03-01,114.75
1938-04-01,111.0
1938-05-01,113.55
1938-06-01,122.8
1938-07-01,139.75
1938-08-01,140.95
1938-09-01,136.5
1938-10-01,148.65
1938-11-01,152.25
1938-12-01,151.1
1939-01-01,145.65
1939-02-01,144.85
1939-03-01,142.05
1939-04-01,127.1
1939-05-01,133.0
1939-06-01,135.1
1939-07-01,138.2
1939-08-01,137.8
1939-09-01,144.4
1939-10-01,152.55
1939-11-01,149.15
1939-12-01,148.35
1940-01-01,148.75
1940-02-01,146.95
1940-03-01,147.0
1940-04-01,149.05
1940-05-01,131.05
1940-06-01,117.85
1940-07-01,123.55
1940-08-01,125.35
1940-09-01,131.4
1940-10-01,132.75
1940-11-01,133.95
1940-12-01,130.4
1941-01-01,128.85
1941-02-01,121.25
1941-03-01,122.1
1941-04-01,120.1
1941-05-01,116.55
1941-06-01,120.1
1941-07-01,126.5
1941-08-01,126.55
1941-09-01,127.55
1941-10-01,122.35
1941-11-01,117.05
1941-12-01,111.5
1942-01-01,111.55
1942-02-01,107.95
1942-03-01,103.1
1942-04-01,97.7
1942-05-01,98.45
1942-06-01,103.8
1942-07-01,105.8
1942-08-01,106.2
1942-09-01,107.8
1942-10-01,112.5
1942-11-01,115.7
1942-12-01,117.15
1943-01-01,122.42
1943-02-01,127.59
1943-03-01,132.71
1943-04-01,134.06
1943-05-01,139.13
1943-06-01,141.08
1943-07-01,140.88
1943-08-01,136.22
1943-09-01,139.33
1943-10-01,138.36
1943-11-01,134.04
1943-12-01,133.46
1944-01-01,137.28
1944-02-01,135.84
1944-03-01,138.72
1944-04-01,137.06
1944-05-01,139.65
1944-06-01,145.12
1944-07-01,148.04
1944-08-01,146.93
1944-09-01,145.06
1944-10-01,147.38
1944-11-01,146.84
1944-12-01,149.92
1945-01-01,153.6
1945-02-01,157.1
1945-03-01,156.9
1945-04-01,160.22
1945-05-01,166.08
1945-06-01,166.74
1945-07-01,164.0
1945-08-01,167.92
1945-09-01,177.8
1945-10-01,185.06
1945-11-01,189.34
1945-12-01,192.44
1946-01-01,198.12
1946-02-01,196.5
1946-03-01,194.51
1946-04-01,203.75
1946-05-01,206.58
1946-06-01,206.0
1946-07-01,201.39
1946-08-01,196.86
1946-09-01,173.18
1946-10-01,169.53
1946-11-01,168.98
1946-12-01,172.91
1947-01-01,176.2
1947-02-01,180.86
1947-03-01,177.12
1947-04-01,172.07
1947-05-01,168.71
1947-06-01,172.72
1947-07-01,183.36
1947-08-01,180.69
1947-09-01,177.34
1947-10-01,181.7
1947-11-01,181.28
1947-12-01,178.45
1948-01-01,176.11
1948-02-01,170.28
1948-03-01,171.3
1948-04-01,180.55
1948-05-01,185.67
1948-06-01,190.53
1948-07-01,186.41
1948-08-01,181.44
1948-09-01,180.68
1948-10-01,185.03
1948-11-01,180.48
1948-12-01,175.57
1949-01-01,178.28
1949-02-01,175.74
1949-03-01,176.06
1949-04-01,175.2
1949-05-01,172.5
1949-06-01,164.88
1949-07-01,172.27
1949-08-01,179.43
1949-09-01,180.66
1949-10-01,186.17
1949-11-01,190.8
1949-12-01,196.62
1950-01-01,199.79
1950-02-01,203.46
1950-03-01,206.3
1950-04-01,212.67
1950-05-01,219.36
1950-06-01,221.02
1950-07-01,205.3
1950-08-01,216.6
1950-09-01,223.21
1950-10-01,229.32
1950-11-01,229.38
1950-12-01,229.26
1951-01-01,244.45
1951-02-01,253.32
1951-03-01,249.5
1951-04-01,253.36
1951-05-01,254.36
1951-06-01,249.32
1951-07-01,253.6
1951-08-01,264.92
1951-09-01,273.36
1951-10-01,269.73
1951-11-01,259.61
1951-12-01,266.09
1952-01-01,271.71
1952-02-01,265.19
1952-03-01,264.48
1952-04-01,262.55
1952-05-01,261.61
1952-06-01,268.39
1952-07-01,276.04
1952-08-01,276.7
1952-09-01,272.4
1952-10-01,267.77
1952-11-01,276.37
1952-12-01,285.95
1953-01-01,288.44
1953-02-01,283.94
1953-03-01,286.79
1953-04-01,275.28
1953-05-01,276.84
1953-06-01,266.88
1953-07-01,270.32
1953-08-01,272.21
1953-09-01,261.9
1953-10-01,270.73
1953-11-01,277.1
1953-12-01,281.15
1954-01-01,286.64
1954-02-01,292.13
1954-03-01,299.15
1954-04-01,310.92
1954-05-01,322.86
1954-06-01,327.91
1954-07-01,341.27
1954-08-01,346.06
1954-09-01,352.71
1954-10-01,358.29
1954-11-01,375.75
1954-12-01,393.84
1955-01-01,398.43
1955-02-01,410.25
1955-03-01,408.91
1955-04-01,422.99
1955-05-01,421.55
1955-06-01,440.79
1955-07-01,462.16
1955-08-01,457.29
1955-09-01,476.43
1955-10-01,452.65
1955-11-01,476.58
1955-12-01,484.58
1956-01-01,474.75
1956-02-01,475.52
1956-03-01,502.67
1956-04-01,511.04
1956-05-01,495.2
1956-06-01,485.33
1956-07-01,509.76
1956-08-01,511.69
1956-09-01,495.01
1956-10-01,483.8
1956-11-01,479.34
1956-12-01,492.01
1957-01-01,485.9
1957-02-01,466.84
1957-03-01,472.78
1957-04-01,485.42
1957-05-01,500.83
1957-06-01,505.27
1957-07-01,514.64
1957-08-01,487.97
1957-09-01,471.79
1957-10-01,443.38
1957-11-01,436.73
1957-12-01,436.94
1958-01-01,445.68
1958-02-01,444.16
1958-03-01,450.14
1958-04-01,446.9
1958-05-01,460.04
1958-06-01,471.97
1958-07-01,488.27
1958-08-01,507.55
1958-09-01,521.82
1958-10-01,539.85
1958-11-01,557.1
1958-12-01,566.43
1959-01-01,592.29
1959-02-01,590.72
1959-03-01,609.12
1959-04-01,616.99
1959-05-01,630.8
1959-06-01,631.51
1959-07-01,662.81
1959-08-01,660.58
1959-09-01,635.47
1959-10-01,637.34
1959-11-01,646.43
1959-12-01,671.35
1960-01-01,665.39
1960-02-01,624.88
1960-03-01,614.7
1960-04-01,619.98
1960-05-01,615.64
1960-06-01,644.38
1960-07-01,625.83
1960-08-01,624.47
1960-09-01,598.1
1960-10-01,582.45
1960-11-01,601.14
1960-12-01,609.54
1961-01-01,632.2
1961-02-01,650.01
1961-03-01,670.56
1961-04-01,684.9
1961-05-01,693.03
1961-06-01,691.44
1961-07-01,690.66
1961-08-01,718.64
1961-09-01,711.02
1961-10-01,703.01
1961-11-01,724.74
1961-12-01,728.44
1962-01-01,705.16
1962-02-01,711.95
1962-03-01,714.21
1962-04-01,690.28
1962-05-01,643.71
1962-06-01,572.64
1962-07-01,581.78
1962-08-01,602.51
1962-09-01,597.02
1962-10-01,580.65
1962-11-01,628.82
1962-12-01,648.38
1963-01-01,672.1
1963-02-01,679.75
1963-03-01,674.63
1963-04-01,707.12
1963-05-01,720.84
1963-06-01,719.14
1963-07-01,700.75
1963-08-01,714.15
1963-09-01,738.52
1963-10-01,747.52
1963-11-01,743.24
1963-12-01,759.94
1964-01-01,776.62
1964-02-01,793.03
1964-03-01,812.18
1964-04-01,820.94
1964-05-01,823.12
1964-06-01,817.63
1964-07-01,844.24
1964-08-01,835.3
1964-09-01,863.55
1964-10-01,875.26
1964-11-01,880.04
1964-12-01,866.73
1965-01-01,889.89
1965-02-01,894.41
1965-03-01,896.44
1965-04-01,907.71
1965-05-01,927.5
1965-06-01,878.06
1965-07-01,873.43
1965-08-01,887.7
1965-09-01,922.18
1965-10-01,944.77
1965-11-01,953.31
1965-12-01,955.19
1966-01-01,985.93
1966-02-01,977.15
1966-03-01,926.43
1966-04-01,943.7
1966-05-01,890.7
1966-06-01,888.73
1966-07-01,875.87
1966-08-01,817.55
1966-09-01,791.65
1966-10-01,778.1
1966-11-01,806.55
1966-12-01,800.86
1967-01-01,830.56
1967-02-01,851.12
1967-03-01,858.11
1967-04-01,868.66
1967-05-01,883.74
1967-06-01,872.66
1967-07-01,888.51
1967-08-01,912.46
1967-09-01,923.45
1967-10-01,907.54
1967-11-01,865.43
1967-12-01,887.2
1968-01-01,884.77
1968-02-01,847.2
1968-03-01,834.76
1968-04-01,893.37
1968-05-01,905.22
1968-06-01,906.82
1968-07-01,905.32
1968-08-01,883.72
1968-09-01,922.8
1968-10-01,955.47
1968-11-01,964.12
1968-12-01,965.39
