# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 11:18:19 2014
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period (val)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN st_dist:        Distance (val)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_discmethod,pl_pnum,pl_orbper,pl_msinij,st_dist,pl_disc
45,Eclipse Timing Variations,2,1916.25000000,,,2011
46,Radial Velocity,1,380.80000000,1.80000,20.21,2010
47,Radial Velocity,1,3.23570000,0.00360,1.35,2012
48,Imaging,1,6000.00000000,,19.28,2008
49,Radial Velocity,1,2502.00000000,1.55000,3.22,2000
50,Radial Velocity,1,417.90000000,,70.42,2012
51,Radial Velocity,1,594.90000000,7.60000,47.53,2006
52,Radial Velocity,1,428.50000000,8.78000,38.52,2009
53,Radial Velocity,1,903.30000000,1.85000,13.79,2003
54,Radial Velocity,1,1251.00000000,,31.12,2007
55,Imaging,1,,,52.03,2012
56,Radial Velocity,1,136.75000000,2.80000,62.66,2007
57,Radial Velocity,2,530.32000000,,46.84,2012
58,Radial Velocity,2,3186.00000000,,46.84,2012
59,Radial Velocity,1,277.02000000,1.70000,80.64,2013
60,Radial Velocity,1,187.83000000,,84.03,2012
61,Radial Velocity,1,1630.00000000,,56.31,2012
62,Radial Velocity,1,39.84500000,1.04000,17.43,1997
63,Radial Velocity,1,3.31350000,3.90000,15.60,1996
64,Radial Velocity,1,305.50000000,20.60000,92.51,2013
65,Radial Velocity,4,4.61703300,0.68760,13.47,1996
66,Radial Velocity,4,241.25800000,1.98100,13.47,1999
67,Radial Velocity,4,1276.46000000,4.13200,13.47,1999
68,Radial Velocity,4,3848.86000000,1.05900,13.47,2010
69,Imaging,1,318280.00000000,,7.69,2008
70,Imaging,1,,,145.00,2008
71,Imaging,1,,,36.00,2013
72,Imaging,1,,,140.00,2010
73,Imaging,1,4639.15000000,,12.21,2009
74,Imaging,1,,,52.40,2004
75,Imaging,1,7336.50000000,,25.00,2009
76,Imaging,1,8679.70000000,,26.67,2009
77,Radial Velocity,1,655.60000000,5.10000,37.54,2008
78,Radial Velocity,1,714.30000000,10.60000,,2007
79,Radial Velocity,1,3.48777000,,80.00,2000
80,Radial Velocity,2,5.60000000,0.04500,42.09,2009
81,Radial Velocity,2,237.60000000,0.33000,42.09,2009
82,Radial Velocity,2,3.87280000,0.02700,20.10,2013
83,Radial Velocity,2,125.94000000,0.17000,20.10,2013
84,Radial Velocity,1,268.94000000,1.47000,50.03,2009
85,Radial Velocity,1,137.48000000,1.11000,175.44,2013
86,Radial Velocity,2,379.63000000,21.42000,,2009
87,Radial Velocity,2,621.99000000,12.47000,,2009
88,Radial Velocity,1,578.20000000,,,2012
89,Radial Velocity,1,392.60000000,0.91000,,2011
90,Imaging,1,10037.50000000,,23.10,2011
91,Imaging,1,,,,2006
92,Transit,1,1.50895570,,,2008
93,Transit,1,1.74299350,,200.00,2008
94,Transit,1,4.25680000,,680.00,2008
95,Transit,1,9.20205000,,,2008
96,Transit,1,4.03789620,,,2009
97,Transit,1,8.88659300,,,2009
98,Transit,2,0.85358500,,150.00,2009
99,Radial Velocity,2,3.69800000,,150.00,2009
100,Transit,1,6.21229000,,380.00,2010
101,Transit,1,95.27380000,,460.00,2009
102,Transit,1,13.24060000,,345.00,2010
103,Transit,1,2.99433000,,560.00,2010
104,Transit,1,2.82804200,,1150.00,2010
105,Transit,1,4.03519000,,1060.00,2010
106,Transit,1,1.51214000,,1340.00,2010
107,Transit,1,5.35227000,,840.00,2011
108,Transit,1,3.76810000,,920.00,2011
109,Transit,1,1.90006930,,870.00,2011
110,Transit,1,3.89713000,,770.00,2011
111,Transit,1,9.24285000,,1230.00,2011
112,Transit,1,3.63130000,,600.00,2011
113,Transit,1,3.57532000,,,2014
114,Astrometry,1,246.36000000,,20.77,2013
115,Radial Velocity,1,15.76491000,3.91000,10.91,1999
116,Radial Velocity,3,8.63100000,0.03500,14.97,2013
117,Radial Velocity,3,25.60000000,0.02400,14.97,2013
118,Radial Velocity,3,603.00000000,0.07900,14.97,2013
119,Radial Velocity,1,2288.00000000,0.82000,12.12,2009
120,Radial Velocity,2,692.00000000,1.89400,15.10,2007
121,Radial Velocity,2,7100.00000000,1.60000,15.10,2011
122,Radial Velocity,1,4100.00000000,2.30000,20.03,2013
123,Radial Velocity,1,7.37090000,0.01800,9.04,2011
124,Radial Velocity,1,2.64385000,,10.23,2004
125,Imaging,1,,,17.95,2013
126,Radial Velocity,4,5.36874000,0.04900,6.27,2005
127,Radial Velocity,4,12.92920000,0.01700,6.27,2005
128,Radial Velocity,4,66.80000000,0.02200,6.27,2005
129,Radial Velocity,4,3.14942000,0.00600,6.27,2005
130,Radial Velocity,1,598.30000000,0.32800,10.32,2009
131,Radial Velocity,6,7.20040000,0.01800,6.80,2011
132,Radial Velocity,6,28.14000000,0.01200,6.80,2011
133,Radial Velocity,6,91.61000000,0.01600,6.80,2013
134,Radial Velocity,6,62.24000000,0.00800,6.80,2013
135,Radial Velocity,6,39.02600000,0.00800,6.80,2013
136,Radial Velocity,6,256.20000000,0.01400,6.80,2013
137,Radial Velocity,1,4.69380000,0.03500,4.54,2007
138,Radial Velocity,3,1050.30000000,4.95000,16.13,2010
139,Radial Velocity,3,3.60000000,0.01400,16.13,2012
140,Radial Velocity,3,35.37000000,0.03600,16.13,2012
141,Radial Velocity,1,3416.00000000,0.64000,4.94,2008
142,Radial Velocity,1,1845.00000000,0.91000,8.77,2006
143,Radial Velocity,4,61.11660000,2.27560,4.70,1998
144,Radial Velocity,4,30.08810000,0.71420,4.70,2000
145,Radial Velocity,4,1.93778000,0.02100,4.70,2005
146,Radial Velocity,4,124.26000000,0.04600,4.70,2010
147,Transit,1,1.58040482,,,2009
148,Radial Velocity,1,133.71000000,3.37000,17.62,2000
149,Radial Velocity,1,3.33714000,,25.20,2012
150,Radial Velocity,1,2.64561000,0.02200,19.80,2010
151,Imaging,1,,,145.00,2010
152,Transit,1,4.46529340,,139.00,2006
153,Transit,1,5.63347290,,135.32,2007
154,Transit,1,2.89973600,,138.00,2007
155,Transit,1,3.05653600,,314.00,2007
156,Transit,1,2.78849100,,342.00,2007
157,Transit,1,3.85298500,,261.00,2007
158,Transit,1,3.07637760,,230.00,2008
159,Transit,1,3.92289000,,480.00,2008
160,Transit,1,3.21305980,,142.50,2009
161,Transit,2,2.91626000,,214.00,2009
162,Radial Velocity,2,428.50000000,15.20000,214.00,2009
163,Transit,1,4.62766900,,205.00,2010
164,Transit,1,10.86350200,,190.00,2010
165,Transit,1,2.77596000,,235.00,2010
166,Transit,2,10.33852300,,90.00,2010
167,Radial Velocity,2,5584.00000000,3.40000,90.00,2010
168,Transit,1,5.50802300,,166.00,2010
169,Transit,1,4.00877800,,215.00,2010
170,Transit,1,2.87531700,,70.00,2010
171,Transit,1,4.12448100,,254.00,2010
172,Transit,1,3.21222000,,82.00,2010
173,Transit,1,1.21288400,,393.00,2010
174,Transit,1,3.35524000,,396.00,2010
175,Transit,1,3.65283600,,297.00,2010
176,Transit,1,4.23451600,,134.00,2010
177,Transit,1,3.03957700,,204.00,2011
178,Transit,1,3.25721500,,395.00,2011
179,Transit,1,5.72318600,,322.00,2011
180,Transit,1,2.81059500,,193.00,2011
181,Transit,2,5.00542500,,354.00,2011
182,Radial Velocity,2,1022.00000000,3.40000,354.00,2011
183,Transit,1,2.15000800,,283.00,2011
184,Transit,1,3.47447400,,387.00,2011
185,Transit,1,5.45265400,,257.00,2011
186,Transit,1,3.64670600,,535.00,2011
187,Transit,1,1.32734700,,317.00,2011
188,Transit,1,2.79743600,,411.00,2011
189,Transit,1,4.64038200,,249.00,2012
190,Transit,1,3.54387000,,642.00,2012
191,Transit,1,4.45724300,,501.00,2012
192,Transit,1,2.69404700,,344.00,2012
193,Transit,1,4.64187800,,447.00,2012
194,Transit,1,3.33268700,,542.00,2012
195,Transit,1,2.69154800,,322.00,2014
196,Transit,1,3.44645900,,303.00,2012
197,Transit,1,1.35413300,,360.00,2013
198,Transit,1,3.54785100,,453.00,2013
199,Radial Velocity,2,349.70000000,1.25000,25.64,2001
200,Radial Velocity,2,6005.00000000,5.30000,25.64,2012
201,Radial Velocity,2,5.77270000,0.02400,23.44,2009
202,Radial Velocity,2,13.50500000,0.01860,23.44,2011
203,Radial Velocity,1,431.80000000,3.10000,167.50,2011
204,Radial Velocity,1,533.00000000,6.10000,7.01,2010
205,Radial Velocity,1,1183.00000000,4.90000,89.85,2002
206,Radial Velocity,1,3.44420000,0.48000,53.71,2005
207,Radial Velocity,1,311.60000000,1.60000,115.21,2013
208,Radial Velocity,1,62.21800000,0.22900,11.11,2003
209,Radial Velocity,1,526.62000000,1.56000,44.05,2007
210,Radial Velocity,1,829.00000000,0.80000,32.70,2001
211,Radial Velocity,1,15.60900000,0.04050,21.85,2005
212,Radial Velocity,1,431.88000000,2.07000,77.82,2001
213,Radial Velocity,1,356.00000000,2.30000,131.41,2009
214,Radial Velocity,2,360.20000000,2.37000,56.50,2012
215,Radial Velocity,2,2732.00000000,2.37000,56.50,2012
216,Radial Velocity,1,675.00000000,1.94000,100.00,2007
217,Radial Velocity,1,777.00000000,1.96000,53.28,2009
218,Radial Velocity,1,792.60000000,,58.17,2012
219,Radial Velocity,1,177.11000000,7.60000,150.60,2011
220,Radial Velocity,1,22.09000000,0.48000,40.32,2003
221,Radial Velocity,1,2496.00000000,1.65000,55.01,2009
222,Radial Velocity,1,615.00000000,0.29000,35.88,2011
223,Radial Velocity,2,1275.00000000,1.11000,38.52,2011
224,Radial Velocity,2,4046.00000000,2.00000,38.52,2011
225,Radial Velocity,1,5.39780000,0.02900,16.82,2008
226,Radial Velocity,1,1313.00000000,0.63000,56.34,2010
227,Radial Velocity,1,227.00000000,1.80000,44.15,2002
228,Radial Velocity,1,1634.00000000,14.20000,38.26,2009
229,Radial Velocity,2,30.05200000,0.70000,52.85,2009
230,Radial Velocity,2,192.90000000,1.82000,52.85,2009
231,Radial Velocity,6,5.75962000,0.04100,39.39,2010
232,Radial Velocity,6,16.35670000,0.03800,39.39,2010
233,Radial Velocity,6,49.74700000,0.08000,39.39,2010
234,Radial Velocity,6,122.72000000,0.07400,39.39,2010
235,Radial Velocity,6,602.00000000,0.06700,39.39,2010
236,Radial Velocity,6,2248.00000000,0.20500,39.39,2010
237,Radial Velocity,1,989.20000000,0.94000,17.35,2006
238,Radial Velocity,1,1075.20000000,6.21000,32.56,1999
239,Radial Velocity,2,1270.20000000,3.44000,53.82,2007
240,Radial Velocity,2,170.45500000,0.82000,53.82,2008
241,Radial Velocity,1,711.00000000,6.54000,66.49,2005
242,Radial Velocity,2,1945.00000000,0.62200,33.98,2005
243,Radial Velocity,2,37.91000000,0.07880,33.98,2008
244,Radial Velocity,2,262.70900000,2.30000,37.16,2000
245,Radial Velocity,2,1708.00000000,1.92000,37.16,2002
246,Radial Velocity,1,471.60000000,14.00000,300.30,2005
247,Radial Velocity,2,14.18200000,0.03250,28.60,2011
248,Radial Velocity,2,53.83200000,0.03600,28.60,2011
249,Radial Velocity,2,19.38200000,0.86500,66.89,2013
250,Radial Velocity,2,931.00000000,5.13000,66.89,2013
251,Radial Velocity,1,4218.00000000,1.88000,45.52,2009
252,Radial Velocity,1,75.52300000,0.26000,35.91,2000
253,Radial Velocity,1,17.24000000,0.06960,25.54,2008
254,Radial Velocity,1,990.00000000,4.40000,59.84,2009
255,Radial Velocity,1,465.10000000,14.30000,50.18,2009
256,Radial Velocity,1,359.90000000,4.60000,,2007
257,Radial Velocity,1,21.21663000,,78.25,2007
258,Radial Velocity,1,772.00000000,2.70000,127.88,2011
259,Radial Velocity,1,466.20000000,1.37000,22.38,2003
260,Radial Velocity,2,11.84900000,0.03780,43.08,2011
261,Radial Velocity,2,33.82300000,0.04220,43.08,2011
262,Radial Velocity,1,500.00000000,1.07000,27.13,2002
263,Radial Velocity,3,18.31500000,0.00850,6.06,2011
264,Radial Velocity,3,40.11400000,0.00755,6.06,2011
265,Radial Velocity,3,90.30900000,0.01510,6.06,2011
266,Radial Velocity,2,29.15000000,0.03790,35.89,2011
267,Radial Velocity,2,85.13100000,0.04960,35.89,2011
268,Radial Velocity,1,591.90000000,1.90000,36.02,2006
269,Radial Velocity,1,380.85000000,1.99000,44.50,2008
270,Radial Velocity,2,22.65600000,0.03220,32.31,2011
271,Radial Velocity,2,53.88100000,0.06472,32.31,2011
272,Radial Velocity,1,1214.00000000,1.50000,89.13,2006
273,Radial Velocity,1,738.45900000,2.61000,34.60,2001
274,Radial Velocity,1,528.07000000,13.65000,31.79,2011
275,Radial Velocity,1,1561.00000000,7.71000,51.97,2003
276,Radial Velocity,1,3668.00000000,4.01000,46.51,2006
277,Radial Velocity,1,1845.00000000,0.95000,56.05,2010
278,Radial Velocity,1,423.84100000,1.28000,18.24,2000
279,Radial Velocity,1,2208.00000000,1.45000,44.54,2012
280,Radial Velocity,1,17.99100000,0.62000,42.37,2005
281,Radial Velocity,1,1117.00000000,1.16000,56.18,2010
282,Radial Velocity,1,385.90000000,5.59000,39.56,2001
283,Radial Velocity,1,387.10000000,1.70000,168.92,2011
284,Radial Velocity,1,2819.65400000,9.17000,54.71,2002
285,Radial Velocity,1,1159.20000000,1.37300,26.50,2009
286,Radial Velocity,1,912.00000000,1.80000,121.07,2011
287,Radial Velocity,1,466.00000000,0.50000,53.82,2010
288,Radial Velocity,3,16.54600000,0.03630,38.01,2011
289,Radial Velocity,3,51.28400000,0.04980,38.01,2011
290,Radial Velocity,3,274.49000000,0.05190,38.01,2011
291,Radial Velocity,1,326.60000000,1.30000,136.80,2011
292,Radial Velocity,1,18.17900000,0.33000,86.88,2006
293,Radial Velocity,1,157.54000000,3.04000,117.37,2009
294,Radial Velocity,1,1049.00000000,0.79000,45.01,2009
295,Radial Velocity,1,388.00000000,9.10000,20.98,2005
296,Radial Velocity,1,363.20000000,,37.78,2010
297,Radial Velocity,3,154.46000000,0.61000,33.24,2002
298,Radial Velocity,3,2295.00000000,0.68300,33.24,2002
299,Radial Velocity,3,843.60000000,0.62400,33.24,2005
300,Radial Velocity,1,2063.81800000,10.35000,18.21,2001
301,Radial Velocity,2,55.00000000,2.30000,42.88,2004
302,Radial Velocity,2,2720.00000000,3.36600,42.88,2012
303,Radial Velocity,3,5.63630000,0.01170,25.59,2011
304,Radial Velocity,3,14.02500000,0.01870,25.59,2011
305,Radial Velocity,3,33.94100000,0.01620,25.59,2011
306,Radial Velocity,2,14.30980000,0.83900,42.43,2000
307,Radial Velocity,2,2140.20000000,13.38000,42.43,2000
308,Radial Velocity,1,696.30000000,10.70000,99.40,2009
309,Radial Velocity,1,407.15000000,0.09610,15.56,2011
310,Radial Velocity,6,4.31230000,0.01260,12.83,2008
311,Radial Velocity,6,9.61840000,0.02080,12.83,2008
312,Radial Velocity,6,20.43200000,0.02990,12.83,2008
313,Radial Velocity,6,34.62000000,0.01100,12.83,2012
314,Radial Velocity,6,51.76000000,0.01640,12.83,2012
315,Radial Velocity,6,197.80000000,0.02230,12.83,2012
316,Radial Velocity,1,264.15000000,4.01000,33.33,2002
317,Radial Velocity,1,963.00000000,2.54000,43.03,2004
318,Radial Velocity,1,1.32830000,18.37000,43.03,2003
319,Radial Velocity,2,18.35700000,0.03900,52.03,2013
320,Radial Velocity,2,25.64800000,0.02700,52.03,2013
321,Radial Velocity,1,327.80000000,0.60000,54.94,2010
322,Radial Velocity,1,2371.00000000,25.00000,37.05,2008
323,Radial Velocity,1,36.96000000,2.49000,93.20,2007
324,Radial Velocity,1,472.00000000,0.58000,50.43,2010
325,Radial Velocity,1,5.88720000,0.04000,22.04,2011
326,Radial Velocity,2,226.93000000,0.18720,32.58,2008
327,Radial Velocity,2,342.85000000,0.65790,32.58,2008
328,Radial Velocity,1,890.76000000,1.79000,48.95,2004
329,Radial Velocity,1,43.60000000,0.47000,36.14,2008
330,Radial Velocity,1,3.02400000,0.24900,33.41,2000
331,Radial Velocity,2,4.08450000,0.07167,37.84,2008
332,Radial Velocity,2,1353.60000000,0.35061,37.84,2008
333,Radial Velocity,2,430.00000000,5.00000,121.36,2002
334,Radial Velocity,2,2500.00000000,7.00000,121.36,2008
335,Radial Velocity,1,700.00000000,1.16000,87.41,2008
336,Radial Velocity,1,4.94370000,0.11500,40.73,2002
337,Radial Velocity,1,2582.70000000,1.71000,47.26,2005
338,Radial Velocity,1,1279.00000000,4.90000,31.03,2002
339,Radial Velocity,2,14.07000000,0.04130,34.07,2011
340,Radial Velocity,2,95.41500000,0.05650,34.07,2011
341,Radial Velocity,1,118.96000000,1.13000,28.07,2000
342,Radial Velocity,1,303.00000000,5.25000,92.51,2003
343,Radial Velocity,2,201.83000000,3.15480,25.70,2008
344,Radial Velocity,2,607.06000000,7.46340,25.70,2008
345,Radial Velocity,1,2.81782200,0.38000,35.80,2005
346,Radial Velocity,1,589.64000000,2.90000,10.34,2006
347,Radial Velocity,1,358.00000000,0.64000,32.62,2009
348,Radial Velocity,2,572.40000000,1.26000,35.59,2003
349,Radial Velocity,2,152.60000000,0.17000,35.59,2011
350,Radial Velocity,1,480.50000000,6.00000,80.06,2012
351,Radial Velocity,1,1973.00000000,2.82000,55.04,2005
352,Radial Velocity,1,6.27600000,1.90000,58.82,2001
353,Radial Velocity,3,8.66700000,0.03300,12.58,2006
354,Radial Velocity,3,31.56000000,0.03800,12.58,2006
355,Radial Velocity,3,197.00000000,0.05800,12.58,2006
356,Radial Velocity,1,851.80000000,6.10000,,2007
357,Radial Velocity,1,2231.00000000,2.00000,28.76,2003
358,Radial Velocity,1,3383.00000000,3.15000,51.36,2002
359,Radial Velocity,1,1260.00000000,3.06000,53.05,2008
360,Radial Velocity,1,2.54858000,1.87000,36.52,2003
361,Radial Velocity,2,188.90000000,2.25000,94.61,2002
362,Radial Velocity,2,379.10000000,2.25000,94.61,2005
363,Radial Velocity,1,1800.00000000,1.15000,96.99,2008
364,Radial Velocity,3,51.64500000,1.80000,64.56,2003
365,Radial Velocity,3,2473.00000000,8.06000,64.56,2003
366,Radial Velocity,3,346.60000000,0.39600,64.56,2007
367,Radial Velocity,1,3.51000000,0.42000,28.94,1999
368,Radial Velocity,1,418.20000000,2.51000,80.58,2007
369,Radial Velocity,1,3.97100000,0.19700,59.70,2002
370,Radial Velocity,1,5.73610000,,41.27,2012
371,Radial Velocity,1,1966.10000000,1.34000,48.64,2011
372,Radial Velocity,1,111.43570000,,29.04,2001
373,Radial Velocity,1,1001.70000000,6.86000,32.56,2005
374,Radial Velocity,1,184.02000000,2.70000,88.26,2007
375,Radial Velocity,2,441.47000000,,27.46,2003
376,Radial Velocity,2,220.07800000,,27.46,2003
377,Radial Velocity,1,705.00000000,1.30000,112.23,2011
378,Radial Velocity,1,2.98562500,0.40000,43.53,2002
379,Radial Velocity,1,788.00000000,0.13200,33.96,2009
380,Radial Velocity,1,58.43000000,0.01133,11.15,2011
381,Radial Velocity,1,2.13750000,1.50000,91.16,2006
382,Radial Velocity,1,1695.00000000,0.92000,42.48,2009
383,Radial Velocity,1,1475.00000000,7.00000,72.57,2009
384,Radial Velocity,1,2754.00000000,1.78000,18.06,2009
385,Radial Velocity,1,3.41600000,0.22000,74.46,2004
386,Radial Velocity,1,2157.00000000,1.78000,30.88,2009
387,Radial Velocity,1,256.78000000,8.44000,38.99,1999
388,Radial Velocity,1,49.77000000,0.05700,22.09,2009
389,Radial Velocity,1,325.81000000,3.86000,32.32,2000
390,Radial Velocity,1,143.58000000,0.37000,28.90,2005
391,Radial Velocity,2,13.18600000,0.02630,42.52,2011
392,Radial Velocity,2,46.02500000,0.03180,42.52,2011
393,Imaging,1,,,91.57,2013
394,Radial Velocity,1,507.00000000,1.20000,149.03,2009
395,Radial Velocity,1,361.10000000,0.90000,132.80,2011
396,Radial Velocity,1,498.90000000,0.68000,84.03,2009
397,Radial Velocity,1,647.30000000,4.00000,221.24,2011
398,Radial Velocity,2,8.12560000,0.02840,26.21,2011
399,Radial Velocity,2,103.49000000,0.04000,26.21,2011
400,Radial Velocity,1,9.49400000,0.02600,21.30,2010
401,Radial Velocity,1,436.90000000,1.80000,150.38,2011
402,Radial Velocity,1,4951.00000000,6.80000,42.77,2012
403,Radial Velocity,1,439.30000000,0.50200,60.46,2005
404,Radial Velocity,2,17.05400000,0.08700,17.99,2004
405,Radial Velocity,2,4970.00000000,0.36000,17.99,2010
406,Radial Velocity,1,868.00000000,1.40000,130.89,2011
407,Radial Velocity,1,157.57000000,1.70000,140.85,2011
408,Radial Velocity,1,383.70000000,1.16000,52.80,2007
409,Radial Velocity,1,70.46000000,0.30000,30.50,2005
410,Radial Velocity,1,20.81330000,0.17200,42.00,2005
411,Radial Velocity,1,4.11377500,0.45000,28.98,2006
412,Radial Velocity,2,127.58000000,5.90000,164.20,2008
413,Radial Velocity,2,520.00000000,2.60000,164.20,2008
414,Radial Velocity,1,122.10000000,0.05000,9.24,2010
415,Radial Velocity,1,778.10000000,5.90000,138.50,2011
416,Radial Velocity,1,6.49500000,0.96000,121.07,2010
417,Radial Velocity,1,47.84000000,0.09800,49.33,2009
418,Radial Velocity,1,5.88810000,0.36700,53.08,2013
419,Radial Velocity,1,55.80600000,0.18600,20.82,2009
420,Radial Velocity,1,199.50500000,8.30000,102.04,2003
421,Radial Velocity,1,1531.00000000,6.92000,37.44,2002
422,Radial Velocity,1,2890.00000000,11.00000,87.87,2011
423,Radial Velocity,1,3630.00000000,9.61000,36.36,2012
424,Imaging,1,,,91.83,2013
425,Radial Velocity,1,48.05600000,0.21000,51.26,2005
426,Radial Velocity,1,10.89850000,0.26100,38.56,2002
427,Radial Velocity,1,443.40000000,2.60000,138.50,2011
428,Radial Velocity,2,395.80000000,1.29000,68.54,2002
429,Radial Velocity,2,1624.00000000,0.99000,68.54,2005
430,Radial Velocity,1,68.27000000,0.77000,65.62,2010
431,Radial Velocity,2,7.85430000,0.05400,56.92,2013
432,Radial Velocity,2,30.93000000,0.07600,56.92,2013
433,Radial Velocity,1,5.24000000,0.28000,59.03,2005
434,Radial Velocity,1,835.47700000,11.09000,97.66,2009
435,Radial Velocity,1,1143.00000000,6.80000,28.88,2003
436,Radial Velocity,1,324.00000000,2.83000,37.42,2013
437,Radial Velocity,2,263.30000000,0.27000,15.71,2010
438,Radial Velocity,2,1657.00000000,0.71000,15.71,2010
439,Radial Velocity,2,937.70000000,1.24000,28.04,2003
440,Radial Velocity,2,1046.00000000,,28.04,2011
441,Radial Velocity,1,3827.00000000,0.48000,20.48,2014
442,Radial Velocity,1,83.88800000,11.68000,40.57,1989
443,Radial Velocity,1,493.70000000,1.10000,20.43,2001
444,Radial Velocity,1,1114.00000000,0.95000,35.00,2002
445,Radial Velocity,1,670.00000000,2.10000,110.62,2011
446,Radial Velocity,1,2597.00000000,1.88000,33.01,2004
447,Radial Velocity,1,25.82700000,0.17800,38.02,2004
448,Radial Velocity,1,6.13350000,2.13000,88.57,2005
449,Radial Velocity,1,2082.00000000,4.50000,97.66,2013
450,Radial Velocity,1,63.33000000,1.22000,44.37,2003
451,Radial Velocity,1,344.95000000,3.71000,133.16,2003
452,Radial Velocity,3,559.40000000,3.00000,52.83,2007
453,Radial Velocity,3,4.15470000,0.05800,52.83,2009
454,Radial Velocity,3,3008.00000000,7.20000,52.83,2009
455,Radial Velocity,1,9.67370000,0.04100,27.45,2009
456,Radial Velocity,1,1244.00000000,0.38000,68.35,2009
457,Radial Velocity,1,948.12000000,0.22400,38.05,2011
458,Radial Velocity,2,454.20000000,1.45000,16.57,2002
459,Radial Velocity,2,923.80000000,3.24000,16.57,2005
460,Radial Velocity,1,1840.00000000,1.60000,67.61,2009
461,Radial Velocity,1,10.70850000,1.04000,29.76,1999
462,Radial Velocity,1,883.00000000,2.20000,121.36,2011
463,Radial Velocity,1,1951.00000000,18.15000,57.21,2008
464,Radial Velocity,1,974.00000000,5.61000,70.97,2007
465,Radial Velocity,1,1544.00000000,1.49000,98.52,2011
466,Radial Velocity,2,3.27000000,0.03510,24.15,2011
467,Radial Velocity,2,1160.90000000,0.15070,24.15,2011
468,Radial Velocity,2,258.19000000,1.59000,25.65,1999
469,Radial Velocity,2,5000.00000000,0.82000,25.65,2009
470,Radial Velocity,3,12.08300000,0.02920,26.91,2011
471,Radial Velocity,3,59.51900000,0.03820,26.91,2011
472,Radial Velocity,3,459.26000000,0.12100,26.91,2011
473,Radial Velocity,1,464.30000000,2.00000,106.38,2009
474,Radial Velocity,3,11.57700000,0.01660,14.56,2011
475,Radial Velocity,3,27.58200000,0.03580,14.56,2011
476,Radial Velocity,3,106.72000000,0.03000,14.56,2011
477,Radial Velocity,1,330.00000000,0.22300,38.45,2011
