,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
5748534,2,2019-03-23 10:50:33,2019-03-23 11:02:53,1,3.09,1,N,230,145,1,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
3948043,2,2019-03-16 00:56:54,2019-03-16 01:12:47,1,2.39,1,N,234,231,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
2264581,1,2019-03-09 17:29:15,2019-03-09 17:56:45,2,3.0,1,N,186,4,2,18.0,2.5,0.5,0.0,0.0,0.3,21.3,2.5
1742959,2,2019-03-07 12:58:38,2019-03-07 13:22:15,1,4.44,1,N,114,25,2,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5
7482748,1,2019-03-30 15:52:00,2019-03-30 15:57:03,3,0.9,1,N,107,170,1,5.5,2.5,0.5,1.32,0.0,0.3,10.12,2.5
6034992,1,2019-03-24 13:58:52,2019-03-24 14:08:49,3,1.6,1,N,144,107,2,8.5,2.5,0.5,0.0,0.0,0.3,11.8,2.5
4770522,1,2019-03-19 15:30:03,2019-03-19 16:04:31,1,7.8,1,N,161,244,1,28.5,2.5,0.5,7.95,0.0,0.3,39.75,2.5
4232368,4,2019-03-17 03:31:05,2019-03-17 03:36:19,1,1.01,1,N,107,234,1,6.0,0.5,0.5,1.0,0.0,0.3,10.8,2.5
5534460,1,2019-03-22 14:41:37,2019-03-22 14:48:36,2,1.0,1,N,25,33,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0.0
3709198,2,2019-03-15 09:01:57,2019-03-15 09:11:16,1,1.07,1,N,230,237,1,7.5,0.0,0.5,3.24,0.0,0.3,14.04,2.5
2639831,2,2019-03-11 09:43:36,2019-03-11 09:59:38,1,1.79,1,N,237,161,2,11.5,0.0,0.5,0.0,0.0,0.3,14.8,2.5
109508,2,2019-03-01 13:13:03,2019-03-01 13:31:59,1,1.84,1,N,68,161,2,13.0,0.0,0.5,0.0,0.0,0.3,16.3,2.5
2982515,2,2019-03-12 16:15:31,2019-03-12 16:26:01,1,0.82,1,N,262,237,2,7.5,1.0,0.5,0.0,0.0,0.3,11.8,2.5
3852169,1,2019-03-15 19:50:09,2019-03-15 19:56:00,1,0.8,1,N,236,262,2,5.5,3.5,0.5,0.0,0.0,0.3,9.8,2.5
7502220,2,2019-03-30 16:00:14,2019-03-30 16:05:55,2,1.04,1,N,43,237,1,6.0,0.0,0.5,1.86,0.0,0.3,11.16,2.5
46770,1,2019-03-01 08:20:39,2019-03-01 08:23:03,3,0.4,1,N,68,246,1,4.0,2.5,0.5,1.0,0.0,0.3,8.3,2.5
779440,1,2019-03-04 08:39:54,2019-03-04 08:46:47,1,0.9,1,N,100,161,1,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5
7634038,2,2019-03-31 01:35:49,2019-03-31 01:45:33,1,1.28,1,N,232,144,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
840162,2,2019-03-04 13:08:15,2019-03-04 13:32:59,1,4.04,1,N,166,161,2,18.5,0.0,0.5,0.0,0.0,0.3,21.8,2.5
4292128,2,2019-03-17 12:40:12,2019-03-17 12:54:44,1,3.27,1,N,141,166,1,13.0,0.0,0.5,2.0,0.0,0.3,18.3,2.5
2832610,1,2019-03-12 01:48:19,2019-03-12 02:01:07,2,3.2,1,N,79,48,1,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
7531169,2,2019-03-30 18:49:45,2019-03-30 18:52:40,1,0.46,1,N,161,162,2,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
5989245,1,2019-03-24 09:20:32,2019-03-24 09:29:11,1,1.5,1,N,238,142,1,8.0,2.5,0.5,1.13,0.0,0.3,12.43,2.5
2041335,2,2019-03-08 20:58:22,2019-03-08 21:07:48,1,1.9,1,N,7,223,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0.0
3215907,2,2019-03-13 14:14:27,2019-03-13 14:18:01,1,0.51,1,N,107,113,2,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
3705035,2,2019-03-15 09:49:29,2019-03-15 10:08:33,2,1.87,1,N,236,162,1,13.0,0.0,0.5,2.44,0.0,0.3,18.74,2.5
2566905,1,2019-03-10 20:03:25,2019-03-10 20:25:25,1,9.2,1,N,138,114,1,27.5,2.5,0.5,9.2,0.0,0.3,40.0,2.5
4449921,2,2019-03-18 07:03:21,2019-03-18 07:36:22,1,13.87,1,N,85,140,1,40.0,0.0,0.5,0.0,5.76,0.3,46.56,0.0
3762208,2,2019-03-15 13:07:33,2019-03-15 13:11:20,1,0.75,1,N,41,151,1,5.0,0.0,0.5,1.2,0.0,0.3,7.0,0.0
7284512,1,2019-03-29 18:34:14,2019-03-29 18:44:52,1,0.9,1,N,158,114,1,8.0,3.5,0.5,1.23,0.0,0.3,13.53,2.5
4301526,2,2019-03-17 13:51:33,2019-03-17 13:55:57,1,0.72,1,N,43,43,2,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
7172253,1,2019-03-29 10:54:26,2019-03-29 11:27:36,2,3.6,1,N,163,144,1,21.0,2.5,0.5,5.0,0.0,0.3,29.3,2.5
2391015,2,2019-03-10 03:26:27,2019-03-10 03:40:15,1,2.25,1,N,68,170,1,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
1622066,2,2019-03-07 12:42:17,2019-03-07 12:54:00,1,1.46,1,N,162,162,1,9.0,0.0,0.5,1.0,0.0,0.3,13.3,2.5
308745,1,2019-03-02 02:38:22,2019-03-02 02:40:16,1,0.2,1,N,249,90,2,3.5,3.0,0.5,0.0,0.0,0.3,7.3,2.5
3508049,1,2019-03-14 15:26:27,2019-03-14 15:47:40,1,2.6,1,N,90,50,1,15.0,2.5,0.5,2.75,0.0,0.3,21.05,2.5
3334212,2,2019-03-13 21:21:51,2019-03-13 21:23:38,2,0.11,1,N,132,132,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
4503204,1,2019-03-18 12:28:19,2019-03-18 12:40:05,1,0.8,1,N,170,100,1,8.5,2.5,0.5,1.0,0.0,0.3,12.8,2.5
3577051,1,2019-03-14 19:10:54,2019-03-14 19:31:30,1,2.1,1,N,237,48,2,13.5,3.5,0.5,0.0,0.0,0.3,17.8,2.5
4721897,2,2019-03-19 12:33:58,2019-03-19 12:47:13,1,1.48,1,N,237,170,1,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
2783783,2,2019-03-11 20:32:18,2019-03-11 20:46:43,2,3.37,1,N,234,140,1,12.5,0.5,0.5,2.44,0.0,0.3,18.74,2.5
3733147,1,2019-03-15 11:18:55,2019-03-15 11:28:54,1,0.8,1,N,90,100,2,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5
4975563,1,2019-03-20 13:50:09,2019-03-20 14:07:47,1,2.6,1,N,231,97,2,13.0,2.5,0.5,0.0,0.0,0.3,16.3,2.5
2848641,1,2019-03-12 07:27:10,2019-03-12 08:38:53,1,17.6,2,N,132,164,1,52.0,2.5,0.5,12.2,5.76,0.3,73.26,2.5
1655252,2,2019-03-07 15:26:10,2019-03-07 15:49:46,1,5.43,1,N,88,170,1,20.0,0.0,0.5,4.66,0.0,0.3,27.96,2.5
2183042,2,2019-03-09 12:04:36,2019-03-09 12:15:52,2,1.43,1,N,164,68,1,8.5,0.0,0.5,1.0,0.0,0.3,12.8,2.5
6145675,2,2019-03-25 01:03:05,2019-03-25 01:11:13,1,4.52,1,N,244,239,1,14.0,0.5,0.5,3.0,0.0,0.3,20.8,2.5
4620693,2,2019-03-18 21:27:11,2019-03-18 21:32:24,2,0.96,1,N,137,137,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
3900872,2,2019-03-15 22:04:07,2019-03-15 22:08:37,1,0.46,1,N,229,161,1,5.0,0.5,0.5,1.0,0.0,0.3,9.8,2.5
6902118,2,2019-03-28 09:38:24,2019-03-28 09:54:16,1,2.02,1,N,230,90,1,11.5,0.0,0.5,2.96,0.0,0.3,17.76,2.5
4070172,1,2019-03-16 16:48:34,2019-03-16 17:04:56,1,2.1,1,N,68,211,1,12.0,2.5,0.5,3.05,0.0,0.3,18.35,2.5
3334989,1,2019-03-13 21:22:59,2019-03-13 21:41:56,2,4.6,1,N,233,41,1,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5
1671958,2,2019-03-07 16:15:46,2019-03-07 16:28:44,2,2.61,1,N,239,41,1,11.0,1.0,0.5,0.0,0.0,0.3,15.3,2.5
5872347,1,2019-03-23 19:47:00,2019-03-23 20:02:32,4,1.6,1,N,163,68,1,10.5,2.5,0.5,4.1,0.0,0.3,17.9,2.5
1326040,2,2019-03-06 12:06:51,2019-03-06 12:17:57,2,0.53,1,N,164,186,1,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
1619830,2,2019-03-07 12:34:19,2019-03-07 13:00:04,3,2.56,1,N,239,161,1,16.0,0.0,0.5,3.86,0.0,0.3,23.16,2.5
5368535,2,2019-03-21 21:33:35,2019-03-21 22:06:52,5,10.33,1,N,164,95,1,34.5,0.5,0.5,4.41,5.76,0.3,48.47,2.5
869143,2,2019-03-04 16:45:39,2019-03-04 16:56:09,1,3.21,1,N,234,234,1,11.0,1.0,0.5,3.06,0.0,0.3,18.36,2.5
7635570,2,2019-03-31 02:21:16,2019-03-31 02:26:55,5,0.94,1,N,137,186,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
7508875,2,2019-03-30 17:43:36,2019-03-30 17:47:45,1,1.53,1,N,75,141,2,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5
1712998,1,2019-03-07 18:49:26,2019-03-07 19:06:44,1,2.4,1,N,142,234,2,12.5,3.5,0.5,0.0,0.0,0.3,16.8,2.5
4037431,1,2019-03-16 13:04:22,2019-03-16 13:17:09,1,1.5,1,N,107,100,1,9.5,2.5,0.5,3.2,0.0,0.3,16.0,2.5
10413,1,2019-03-01 01:38:08,2019-03-01 01:52:43,1,2.4,1,N,170,4,1,12.0,3.0,0.5,2.0,0.0,0.3,17.8,2.5
7662358,1,2019-03-31 08:47:03,2019-03-31 09:06:53,1,10.0,1,N,141,138,4,29.0,2.5,0.5,0.0,5.76,0.3,38.06,2.5
7724472,2,2019-03-31 14:20:39,2019-03-31 15:09:46,2,19.04,2,N,148,132,1,52.0,0.0,0.5,12.21,5.76,0.3,73.27,2.5
7600278,1,2019-03-30 23:58:21,2019-03-31 00:09:12,1,2.8,1,N,68,239,1,11.0,3.0,0.5,2.22,0.0,0.3,17.02,2.5
3159314,2,2019-03-13 10:57:49,2019-03-13 11:27:00,2,3.32,1,N,43,107,1,19.0,0.0,0.5,4.46,0.0,0.3,26.76,2.5
834468,2,2019-03-04 13:19:00,2019-03-04 13:28:26,1,1.2,1,N,68,234,1,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5
6150178,1,2019-03-25 05:46:09,2019-03-25 06:09:32,1,16.6,2,N,107,132,1,52.0,2.5,0.5,0.0,5.76,0.3,61.06,2.5
7019286,1,2019-03-28 18:00:33,2019-03-28 18:57:36,1,18.2,2,N,132,229,1,52.0,7.0,0.5,0.0,5.76,0.3,65.56,2.5
3391835,2,2019-03-14 07:57:05,2019-03-14 08:21:32,1,6.17,1,N,87,163,1,22.5,0.0,0.5,5.16,0.0,0.3,30.96,2.5
463228,2,2019-03-02 18:42:15,2019-03-02 18:54:45,1,1.73,1,N,233,230,1,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
1359507,1,2019-03-06 14:20:40,2019-03-06 14:29:16,1,0.9,1,N,107,170,1,7.0,2.5,0.5,2.05,0.0,0.3,12.35,2.5
2250575,2,2019-03-09 16:56:47,2019-03-09 17:09:33,1,1.63,1,N,43,230,1,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
6785481,1,2019-03-27 20:05:04,2019-03-27 20:12:09,1,1.0,1,N,234,170,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5
6745272,2,2019-03-27 17:45:47,2019-03-27 17:55:13,2,1.34,1,N,162,237,2,8.0,1.0,0.5,0.0,0.0,0.3,12.3,2.5
6250330,2,2019-03-25 15:50:55,2019-03-25 15:58:40,5,1.0,1,N,161,170,1,6.5,0.0,0.5,0.98,0.0,0.3,10.78,2.5
2976932,1,2019-03-12 16:53:45,2019-03-12 16:57:55,2,0.6,1,N,234,68,1,5.0,3.5,0.5,1.75,0.0,0.3,11.05,2.5
5928072,2,2019-03-23 23:07:28,2019-03-23 23:14:07,1,0.74,1,N,170,164,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
6784295,1,2019-03-27 20:59:49,2019-03-27 21:17:21,1,3.6,1,N,229,238,2,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
5705418,2,2019-03-23 02:30:57,2019-03-23 02:54:32,2,4.1,1,N,79,112,1,19.0,0.5,0.5,6.84,0.0,0.3,29.64,2.5
2249518,1,2019-03-09 16:48:02,2019-03-09 16:57:45,1,1.0,1,N,68,249,1,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5
5388619,2,2019-03-21 22:40:59,2019-03-21 23:10:35,1,5.17,1,N,13,255,1,23.0,0.5,0.5,6.7,0.0,0.3,33.5,2.5
539423,1,2019-03-03 00:21:58,2019-03-03 00:24:37,1,0.7,1,N,170,162,1,4.5,3.0,0.5,2.05,0.0,0.3,10.35,2.5
1823994,2,2019-03-08 04:41:33,2019-03-08 05:03:36,1,16.2,2,N,100,132,2,52.0,0.0,0.5,0.0,5.76,0.3,61.06,2.5
3719770,1,2019-03-15 10:26:51,2019-03-15 10:33:00,1,0.9,1,N,239,142,1,6.0,2.5,0.5,1.5,0.0,0.3,10.8,2.5
773326,1,2019-03-04 07:38:19,2019-03-04 07:49:28,1,2.3,1,N,186,141,1,10.0,2.5,0.5,2.65,0.0,0.3,15.95,2.5
3434229,1,2019-03-14 10:17:22,2019-03-14 10:47:09,1,1.1,1,N,233,161,2,17.5,2.5,0.5,0.0,0.0,0.3,20.8,2.5
5993767,2,2019-03-24 09:42:19,2019-03-24 09:50:16,1,1.56,1,N,39,91,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8,0.0
5209559,2,2019-03-21 11:14:45,2019-03-21 11:29:22,2,1.22,1,N,161,100,2,10.0,0.0,0.5,0.0,0.0,0.3,13.3,2.5
2820906,1,2019-03-11 23:48:53,2019-03-12 00:06:12,1,4.8,1,N,48,231,1,16.5,3.0,0.5,1.0,0.0,0.3,21.3,2.5
2301773,2,2019-03-09 19:03:24,2019-03-09 19:14:24,2,1.12,1,N,162,230,1,8.0,0.0,0.5,2.82,0.0,0.3,14.12,2.5
2463446,2,2019-03-10 12:58:50,2019-03-10 13:05:34,2,1.05,1,N,237,162,1,6.5,0.0,0.5,1.47,0.0,0.3,11.27,2.5
325745,2,2019-03-02 07:07:23,2019-03-02 07:13:11,1,0.93,1,N,236,262,2,6.0,0.0,0.5,0.0,0.0,0.3,9.3,2.5
2036852,2,2019-03-08 20:35:55,2019-03-08 20:46:43,1,1.04,1,N,161,233,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
633950,1,2019-03-03 13:22:11,2019-03-03 13:41:52,1,3.8,1,N,88,100,2,15.0,2.5,0.5,0.0,0.0,0.3,18.3,2.5
773808,2,2019-03-04 07:16:57,2019-03-04 07:28:50,2,2.12,1,N,234,230,1,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
173095,2,2019-03-01 17:10:09,2019-03-01 17:20:05,2,0.0,1,N,43,236,1,7.0,1.0,0.5,1.0,0.0,0.3,12.3,2.5
5963647,2,2019-03-24 02:08:25,2019-03-24 02:10:37,2,0.46,1,N,140,141,1,3.5,0.5,0.5,1.46,0.0,0.3,8.76,2.5
6330203,2,2019-03-25 21:15:55,2019-03-25 21:43:57,6,2.94,1,N,162,145,1,19.0,0.5,0.5,6.84,0.0,0.3,29.64,2.5
4930447,2,2019-03-20 09:31:45,2019-03-20 09:54:10,1,1.74,1,N,186,161,2,14.0,0.0,0.5,0.0,0.0,0.3,17.3,2.5
6783514,2,2019-03-27 18:54:44,2019-03-27 19:06:43,1,1.64,1,N,68,79,1,9.5,1.0,0.5,2.76,0.0,0.3,16.56,2.5
7347737,2,2019-03-29 23:25:58,2019-03-29 23:37:55,1,3.37,1,N,230,75,1,12.0,0.5,0.5,5.0,0.0,0.3,20.8,2.5
1797429,2,2019-03-07 23:09:09,2019-03-07 23:14:34,2,1.13,1,N,230,164,2,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
