Month,Day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,20,,15.709,,,15.208,,14.505,14.906,,15.022,15.049,15.165,15.004,14.577,14.772,15.206,14.894,14.764,14.338,14.666,14.93,14.432,14.454,14.449,14.561,14.796,14.28,13.765,13.337,13.914,13.964,14.19,13.96,13.609,13.676,14.012,13.848,13.818,13.677,13.384,13.212,13.759,13.88,13.77,14.022
,21,,,15.141,15.055,,15.314,,,15.252,,15.113,15.265,14.977,14.635,14.83,15.175,14.948,14.793,14.256,14.637,14.897,14.37,14.475,14.539,14.657,14.739,14.233,13.705,13.317,13.951,14.07,14.168,13.94,13.59,13.782,14.032,13.855,13.752,13.737,13.402,13.215,13.82,13.898,13.761,14.122
,22,,15.679,,,15.283,,14.626,14.945,,15.299,15.09,15.288,15.018,14.642,14.906,15.324,14.933,14.801,14.373,14.686,14.936,14.386,14.456,14.575,14.674,14.555,14.237,13.764,13.472,14.014,14.189,14.251,13.889,13.669,13.89,13.981,13.987,13.86,13.704,13.496,13.217,13.805,13.933,13.841,14.12
,23,,,15.195,15.17,,15.396,,,15.214,,15.085,15.378,15.023,14.711,14.932,15.31,15.021,14.826,14.423,14.752,14.96,14.503,14.583,14.609,14.624,14.481,14.32,13.851,13.592,14.089,14.286,14.232,13.866,13.66,13.964,14.015,13.997,13.93,13.684,13.622,13.318,13.865,14.032,13.894,14.111
,24,,15.745,,,15.391,,14.703,15.036,,15.408,15.022,15.369,14.983,14.715,14.946,15.394,15.054,14.758,14.467,14.719,14.987,14.602,14.625,14.715,14.64,14.528,14.321,13.963,13.521,14.175,14.455,14.184,13.904,13.769,13.982,14.082,14.029,13.944,13.738,13.734,13.427,13.906,13.979,13.945,14.098
,25,,,15.209,15.244,,15.347,,,15.322,,15.02,15.38,15.021,14.789,14.905,15.447,15.089,14.802,14.598,14.756,15.107,14.622,14.728,14.585,14.668,14.585,14.217,13.981,13.546,14.226,14.468,14.166,13.991,13.745,13.914,14.222,14.131,13.968,13.751,13.781,13.433,13.89,14.051,13.97,13.996
,26,,15.686,,,15.547,,14.788,15.186,,15.55,15.115,15.373,15.194,14.742,15,15.515,15.141,14.76,14.405,14.789,15.185,14.599,14.778,14.65,14.744,14.583,14.321,13.892,13.658,14.189,14.525,14.133,14.089,13.767,13.962,14.204,14.209,13.92,13.819,13.717,13.352,13.939,14.053,13.982,14.057
,27,,,15.124,15.35,,15.401,,,15.241,,15.163,15.43,15.074,14.753,15.1,15.551,15.255,14.794,14.527,14.7,15.183,14.596,14.882,14.625,14.803,14.791,14.366,13.931,13.719,14.26,14.533,14.231,14.045,13.932,13.93,14.243,14.218,13.976,13.816,13.702,13.272,14.054,14.062,14.044,14.184
,28,,15.777,,,15.695,,14.821,15.313,,15.621,15.241,15.502,15.083,14.762,15.212,15.601,15.299,14.867,14.625,14.707,15.251,14.67,14.868,14.673,14.923,14.891,14.342,14.064,13.775,14.215,14.593,14.291,13.949,13.998,14.048,14.285,14.162,14.005,13.85,13.694,13.401,14.076,14.125,14.002,14.218
,29,,,15.258,15.503,,15.554,,,15.194,,15.278,15.364,15.17,14.744,15.182,15.548,15.359,14.96,14.532,14.81,15.375,14.745,14.906,14.718,14.878,14.771,14.337,14.097,13.856,14.218,14.609,14.336,14.041,13.968,14.035,14.312,14.139,13.991,13.904,13.636,13.45,14.051,14.226,14.003,14.343
,30,,15.912,,,15.755,,14.893,15.167,,15.787,15.362,15.319,15.257,14.813,15.188,15.507,15.4,14.956,14.653,14.872,15.425,14.837,14.98,14.764,14.951,14.811,14.28,14.136,13.801,14.276,14.519,14.38,14.111,13.999,14.036,14.281,14.132,14.047,13.895,13.713,13.563,14.041,14.276,14.117,14.487
,31,,,15.491,15.627,,15.68,,,15.206,,15.443,15.361,15.318,14.831,15.259,15.462,15.397,14.966,14.673,14.938,15.479,14.952,14.938,14.839,15.039,14.871,14.397,14.019,13.958,14.232,14.465,14.408,14.142,14.067,14.048,14.272,14.198,14.176,13.89,13.781,13.657,14.021,14.297,14.181,14.4
February,1,,15.857,,,15.836,,15.026,15.252,,15.81,15.56,15.386,15.351,14.852,15.419,15.449,15.409,15.054,14.706,15.013,15.512,14.947,14.991,14.908,15.187,14.946,14.36,14.031,14.081,14.222,14.563,14.502,14.209,14.117,14.11,14.378,14.241,14.246,13.926,13.861,13.764,14.086,14.318,14.208,14.391
,2,,,15.401,15.646,,15.737,,,15.331,,15.568,15.427,15.39,14.84,15.387,15.475,15.42,15.086,14.798,15.051,15.58,14.951,14.959,14.894,15.226,14.954,14.389,14.071,14.118,14.371,14.66,14.604,14.266,14.155,14.137,14.335,14.341,14.218,13.954,13.865,13.833,14.019,14.37,14.247,14.473
,3,,15.839,,,15.841,,15.107,15.298,,15.898,15.462,15.454,15.383,14.86,15.396,15.555,15.438,15.094,14.803,15.194,15.664,15.034,14.946,14.816,15.186,14.889,14.497,14.145,14.159,14.328,14.664,14.531,14.255,14.16,14.078,14.411,14.293,14.252,13.981,13.892,13.9,14.025,14.371,14.389,14.552
,4,,,15.639,15.663,,15.719,,,15.427,,15.479,15.378,15.36,14.779,15.396,15.51,15.429,15.139,14.818,15.287,15.663,14.986,15.094,14.874,15.204,14.876,14.515,14.128,14.176,14.306,14.711,14.507,14.309,14.158,14.11,14.484,14.291,14.269,14.025,13.864,13.929,14.026,14.341,14.27,14.553
,5,,15.831,,,15.85,,15.107,15.445,,15.877,15.413,15.482,15.38,14.855,15.365,15.52,15.479,15.259,14.873,15.303,15.658,14.978,15.122,14.867,15.185,14.905,14.53,14.107,14.28,14.254,14.835,14.58,14.317,14.157,14.169,14.405,14.363,14.232,14.071,13.87,13.976,14.093,14.466,14.269,14.511
,6,,,15.76,15.629,,15.695,,,15.546,,15.448,15.463,15.277,14.849,15.481,15.525,15.515,15.212,14.974,15.369,15.661,15.1,15.114,14.975,15.133,14.834,14.564,14.076,14.292,14.252,14.849,14.662,14.319,14.217,14.204,14.37,14.286,14.27,14.179,13.929,13.861,14.082,14.523,14.35,14.461
,7,,15.801,,,15.797,,15.08,15.441,,15.94,15.313,15.485,15.311,14.886,15.446,15.65,15.474,15.213,15.058,15.394,15.642,15.178,15.195,14.926,15.16,14.942,14.691,14.089,14.251,14.351,14.841,14.774,14.24,14.198,14.263,14.467,14.315,14.277,14.173,13.886,13.797,14.108,14.635,14.448,14.484
,8,,,15.888,15.541,,15.822,,,15.724,,15.309,15.515,15.369,14.955,15.424,15.707,15.521,15.251,15.164,15.418,15.62,15.203,15.168,14.999,15.207,14.975,14.692,14.171,14.228,14.351,14.855,14.856,14.322,14.319,14.356,14.592,14.254,14.407,14.286,13.916,13.831,14.172,14.641,14.461,14.472
,9,,15.99,,,15.829,,14.988,15.549,,15.934,15.276,15.577,15.404,15.018,15.43,15.778,15.46,15.238,15.191,15.377,15.572,15.279,15.195,14.985,15.255,14.996,14.787,14.259,14.335,14.375,14.9,14.879,14.441,14.221,14.325,14.625,14.363,14.455,14.258,13.905,13.772,14.251,14.666,14.442,14.445
,10,,,15.895,15.44,,15.791,,,15.802,,15.304,15.594,15.598,15.066,15.358,15.933,15.525,15.19,15.224,15.452,15.581,15.297,15.138,15.09,15.209,15.003,14.827,14.296,14.347,14.442,14.93,14.853,14.365,14.265,14.353,14.614,14.307,14.468,14.118,13.906,13.791,14.254,14.673,14.44,14.365
,11,,16.099,,,15.748,,15.181,15.447,,15.9,15.292,15.473,15.627,15.12,15.318,15.796,15.539,15.197,15.174,15.461,15.57,15.315,15.112,15.215,15.31,15.057,14.862,14.278,14.381,14.477,14.967,14.772,14.394,14.284,14.456,14.611,14.174,14.407,14.07,13.873,13.809,14.295,14.612,14.568,14.385
,12,,,15.97,15.474,,15.999,,,15.845,,15.326,15.383,15.527,15.169,15.367,15.726,15.541,15.281,15.119,15.418,15.592,15.336,15.097,15.197,15.228,15.078,14.947,14.302,14.444,14.476,14.976,14.762,14.515,14.302,14.546,14.697,14.218,14.434,14.146,13.916,13.844,14.32,14.55,14.512,14.43
,13,,16.289,,,15.854,,15.178,15.448,,15.952,15.332,15.424,15.433,15.28,15.382,15.744,15.549,15.194,15.088,15.499,15.676,15.377,15.009,15.121,15.303,15.142,15.021,14.332,14.495,14.563,14.921,14.845,14.556,14.404,14.585,14.729,14.284,14.443,14.198,14.052,13.865,14.471,14.502,14.47,14.484
,14,,,16.017,15.482,,16.056,,,15.724,,15.363,15.465,15.433,15.347,15.449,15.634,15.579,15.173,15.162,15.509,15.697,15.395,14.991,15.173,15.364,15.139,15.024,14.405,14.437,14.538,14.829,14.848,14.652,14.379,14.663,14.764,14.365,14.496,14.19,14.153,13.831,14.513,14.577,14.497,14.633
,15,,16.323,,,15.857,,15.335,15.554,,15.977,15.379,15.503,15.445,15.372,15.466,15.652,15.492,15.173,15.235,15.574,15.629,15.414,15.01,15.293,15.384,15.212,15.034,14.456,14.378,14.631,14.735,14.882,14.685,14.493,14.697,14.771,14.396,14.517,14.279,14.186,13.875,14.419,14.645,14.583,14.6
,16,,,16.095,15.575,,15.971,,,15.836,,15.476,15.368,15.539,15.388,15.567,15.637,15.507,15.181,15.087,15.649,15.648,15.365,14.991,15.34,15.413,15.306,15.029,14.515,14.39,14.495,14.774,14.901,14.715,14.493,14.678,14.816,14.451,14.437,14.237,14.335,13.902,14.448,14.667,14.547,14.624
,17,,16.343,,,16.058,,15.427,15.473,,16.169,15.443,15.314,15.612,15.412,15.561,15.763,15.549,15.266,15.157,15.65,15.704,15.373,15,15.381,15.475,15.345,15.037,14.467,14.486,14.563,14.889,14.982,14.823,14.476,14.675,14.918,14.446,14.358,14.182,14.271,13.954,14.462,14.665,14.375,14.701
,18,,,16.095,15.592,,16.056,,,15.949,,15.471,15.396,15.64,15.417,15.518,15.82,15.581,15.228,15.272,15.635,15.846,15.419,15.06,15.315,15.526,15.354,15.028,14.415,14.42,14.552,14.881,14.969,14.853,14.49,14.71,14.833,14.381,14.347,14.137,14.311,13.968,14.553,14.598,14.314,14.721
,19,,16.291,,,16.087,,15.47,15.368,,16.136,15.546,15.455,15.658,15.499,15.532,15.798,15.624,15.267,15.319,15.5,15.841,15.473,15.132,15.403,15.534,15.359,15.088,14.427,14.277,14.601,14.929,14.851,14.775,14.489,14.677,14.802,14.5,14.371,14.161,14.329,14.009,14.596,14.623,14.324,14.712
,20,,,16.17,15.731,,16.167,,,15.913,,15.639,15.469,15.753,15.56,15.508,15.819,15.701,15.245,15.455,15.481,15.904,15.49,15.156,15.337,15.488,15.386,15.082,14.469,14.286,14.74,14.927,14.872,14.729,14.467,14.697,14.798,14.56,14.41,14.193,14.305,14.065,14.678,14.715,14.297,14.729
,21,,16.26,,,16.094,,15.456,15.498,,16.293,15.73,15.467,15.678,15.467,15.523,15.799,15.77,15.264,15.484,15.538,15.94,15.481,15.194,15.342,15.549,15.461,15.147,14.454,14.34,14.627,15.06,14.882,14.733,14.477,14.709,14.828,14.594,14.534,14.2,14.322,14.109,14.709,14.848,14.291,14.933
,22,,,16.066,15.654,,16.238,,,15.966,,15.831,15.534,15.681,15.459,15.574,15.885,15.738,15.21,15.398,15.533,15.925,15.456,15.244,15.352,15.586,15.443,15.165,14.431,14.378,14.679,15.197,14.8,14.84,14.47,14.729,14.8,14.602,14.554,14.151,14.403,14.177,14.708,14.936,14.328,14.923
,23,,16.401,,,16.143,,15.467,15.447,,16.275,16.015,15.571,15.705,15.596,15.535,15.874,15.686,15.227,15.406,15.466,15.985,15.463,15.234,15.355,15.483,15.438,15.15,14.541,14.342,14.712,15.213,14.811,14.875,14.571,14.797,14.82,14.562,14.505,14.195,14.404,14.228,14.699,14.761,14.34,14.882
,24,,,16.087,15.706,,16.28,,,16.008,,15.906,15.638,15.79,15.575,15.53,15.749,15.682,15.352,15.386,15.496,15.982,15.44,15.343,15.476,15.396,15.439,15.169,14.592,14.284,14.76,15.233,14.809,14.812,14.49,14.786,14.987,14.573,14.5,14.316,14.376,14.134,14.652,14.711,14.278,14.757
,25,,16.579,,,16.31,,15.534,15.568,,16.276,15.836,15.664,15.842,15.647,15.494,15.553,15.613,15.358,15.301,15.447,16.07,15.468,15.252,15.497,15.39,15.41,15.144,14.652,14.335,14.717,15.262,14.847,14.803,14.466,14.817,15.086,14.566,14.492,14.358,14.337,14.172,14.573,14.695,14.275,14.881
,26,,,16.069,15.667,,16.352,,,15.934,,15.962,15.655,15.938,15.586,15.53,15.525,15.592,15.296,15.234,15.41,16.032,15.507,15.235,15.532,15.396,15.506,15.169,14.737,14.347,14.65,15.242,14.991,14.767,14.517,14.854,15.11,14.656,14.49,14.404,14.3,14.187,14.611,14.763,14.348,14.746
,27,,16.551,,,16.325,,15.561,15.732,,16.265,16.017,15.68,16.022,15.6,15.496,15.611,15.641,15.301,15.2,15.469,15.904,15.523,15.346,15.62,15.387,15.495,15.185,14.815,14.39,14.676,15.354,15.039,14.789,14.47,14.853,15.09,14.651,14.419,14.426,14.286,14.166,14.606,14.855,14.404,14.678
,28,,,16.22,15.657,,16.203,,,15.983,,16.111,15.655,16.044,15.529,15.532,15.711,15.679,15.37,15.218,15.635,15.785,15.402,15.394,15.629,15.422,15.518,15.187,14.779,14.422,14.662,15.243,15.112,14.921,14.46,14.997,15.118,14.659,14.41,14.524,14.291,14.334,14.594,14.91,14.633,14.671
,29,,,,,,,15.567,,,,16.111,,,,15.417,,,,15.186,,,,15.381,,,,15.197,,,,15.21,,,,15.016,,,,14.541,,,,14.985,,
March,1,,16.635,16.157,,16.234,,,15.791,,16.059,16.129,15.557,16.021,15.488,15.487,15.754,15.675,15.344,15.23,15.578,15.786,15.26,15.446,15.637,15.397,15.555,15.104,14.874,14.434,14.682,15.27,15.168,14.914,14.472,15.133,15.144,14.629,14.533,14.427,14.341,14.336,14.546,15.001,14.647,14.693
,2,,,,15.628,,16.049,15.431,,16.02,,16.162,15.607,16.058,15.509,15.516,15.825,15.765,15.318,15.232,15.617,15.738,15.171,15.428,15.64,15.444,15.61,15.068,14.926,14.471,14.672,15.222,15.195,15.019,14.44,15.196,15.088,14.658,14.421,14.418,14.332,14.293,14.595,14.966,14.741,14.765
,3,,16.457,16.248,,16.293,,,15.698,,15.874,16.179,15.686,16.066,15.422,15.44,15.839,15.729,15.271,15.277,15.406,15.741,15.182,15.498,15.705,15.441,15.616,15.052,14.84,14.445,14.742,15.197,15.126,15.037,14.545,15.212,15.003,14.688,14.446,14.354,14.395,14.25,14.622,15.039,14.776,14.703
,4,,,,15.726,,15.958,15.483,,16.023,,16.099,15.72,16.084,15.326,15.402,15.764,15.735,15.326,15.245,15.353,15.711,15.217,15.425,15.742,15.404,15.524,15.004,14.851,14.473,14.714,15.195,15.067,15.14,14.554,15.298,14.999,14.72,14.372,14.312,14.404,14.23,14.65,15.071,14.801,14.748
,5,,16.568,16.302,,16.315,,,15.706,,15.936,16.137,15.689,16.06,15.352,15.39,15.882,15.711,15.296,15.284,15.333,15.702,15.327,15.397,15.637,15.359,15.472,15.04,14.9,14.535,14.66,15.233,15.123,15.233,14.646,15.263,15.001,14.811,14.263,14.322,14.449,14.186,14.643,15.012,14.746,14.762
,6,,,,15.646,,15.971,15.554,,16.031,,16.169,15.766,16.001,15.437,15.399,15.888,15.658,15.359,15.326,15.379,15.74,15.234,15.444,15.57,15.427,15.44,15.117,14.903,14.56,14.653,15.235,15.162,15.216,14.673,15.211,15,14.804,14.354,14.348,14.417,14.13,14.656,14.938,14.725,14.756
,7,,16.547,16.289,,16.309,,,15.681,,15.78,16.24,15.646,15.961,15.39,15.424,15.878,15.634,15.3,15.334,15.372,15.753,15.178,15.339,15.538,15.421,15.443,15.157,14.906,14.52,14.642,15.197,15.076,15.165,14.704,15.187,15.055,14.773,14.313,14.404,14.365,14.177,14.719,14.887,14.727,14.77
,8,,,,15.644,,16.101,15.57,,16.084,,16.247,15.564,15.992,15.51,15.48,15.914,15.601,15.333,15.337,15.361,15.785,15.257,15.278,15.554,15.555,15.438,15.161,14.935,14.591,14.644,15.262,14.955,15.148,14.654,15.169,15.075,14.559,14.271,14.397,14.326,14.241,14.772,14.951,14.711,14.772
,9,,16.536,16.168,,16.123,,,15.575,,15.713,16.244,15.442,16.083,15.487,15.527,15.929,15.491,15.352,15.259,15.323,15.835,15.33,15.325,15.593,15.624,15.381,15.269,14.993,14.672,14.796,15.352,14.878,15.1,14.656,15.2,15.089,14.616,14.26,14.39,14.331,14.292,14.801,14.981,14.768,14.744
,10,,,,15.733,,16.172,15.587,,16.158,,16.309,15.388,16.095,15.472,15.525,15.906,15.502,15.239,15.273,15.342,15.791,15.343,15.308,15.604,15.536,15.326,15.3,14.891,14.756,14.842,15.251,14.833,15.113,14.578,15.17,15.067,14.617,14.308,14.354,14.31,14.306,14.772,14.989,14.818,14.694
,11,,16.513,16.04,,16.099,,,15.614,,15.778,16.296,15.409,16.167,15.454,15.546,15.985,15.55,15.203,15.214,15.386,15.755,15.384,15.299,15.581,15.611,15.347,15.191,14.95,14.777,14.808,15.268,14.894,15.072,14.553,15.168,15.172,14.711,14.34,14.408,14.394,14.319,14.896,14.995,14.865,14.61
,12,,,,15.657,,16.349,15.58,,16.14,,16.276,15.295,16.249,15.436,15.576,15.965,15.521,15.138,15.202,15.408,15.704,15.381,15.342,15.573,15.511,15.32,15.085,14.992,14.617,14.733,15.305,14.861,15.098,14.542,15.167,15.151,14.816,14.364,14.379,14.369,14.395,14.797,14.999,14.743,14.615
,13,,16.414,15.966,,16.005,,,15.914,,15.844,16.182,15.367,16.2,15.459,15.521,16.048,15.559,15.182,15.214,15.519,15.681,15.425,15.365,15.557,15.572,15.278,14.854,14.893,14.521,14.632,15.305,14.884,15.122,14.592,15.069,15.181,14.929,14.353,14.432,14.374,14.418,14.818,14.879,14.658,14.577
,14,,,,15.801,,16.412,15.676,,16.018,,16.013,15.385,16.173,15.501,15.493,16.031,15.589,15.12,15.169,15.488,15.639,15.301,15.199,15.689,15.611,15.331,14.89,14.761,14.471,14.609,15.204,14.959,15.104,14.619,15.078,15.196,14.889,14.337,14.375,14.421,14.499,14.76,14.855,14.6,14.525
,15,,16.31,15.994,,15.955,,,16.094,,15.902,15.983,15.413,16.059,15.472,15.476,15.865,15.607,15.124,15.188,15.505,15.681,15.303,15.13,15.667,15.576,15.4,14.908,14.708,14.404,14.485,15.194,14.939,15.1,14.602,15.266,15.136,14.923,14.387,14.518,14.396,14.482,14.716,14.977,14.617,14.478
,16,,,,15.771,,16.214,15.764,,16.02,,15.96,15.338,15.98,15.521,15.422,15.835,15.562,15.191,15.118,15.504,15.565,15.38,15.133,15.702,15.489,15.433,14.944,14.712,14.374,14.502,15.126,14.942,15.142,14.676,15.29,15.129,14.937,14.404,14.47,14.317,14.461,14.694,14.929,14.74,14.469
,17,,16.467,15.988,,15.905,,,16.163,,15.886,15.847,15.295,15.859,15.48,15.371,15.86,15.498,15.243,15.07,15.567,15.562,15.392,15.155,15.645,15.402,15.485,15.013,14.73,14.336,14.596,15.141,15.015,15.173,14.673,15.294,15.137,14.957,14.31,14.464,14.28,14.464,14.659,14.893,14.768,14.469
,18,,,,15.528,,16.069,15.809,,15.941,,15.871,15.308,15.739,15.499,15.406,15.784,15.475,15.206,15.021,15.597,15.602,15.355,15.113,15.652,15.396,15.561,14.943,14.642,14.394,14.561,15.135,14.968,15.171,14.606,15.307,15.09,14.973,14.315,14.469,14.257,14.381,14.556,14.854,14.775,14.458
,19,,16.505,16.005,,15.938,,,16.059,,15.75,15.835,15.4,15.715,15.536,15.461,15.635,15.45,15.167,14.997,15.6,15.577,15.452,15.087,15.604,15.346,15.56,14.941,14.556,14.397,14.446,15.14,14.959,15.134,14.504,15.29,15.119,14.936,14.372,14.451,14.193,14.33,14.531,14.807,14.748,14.483
,20,,,,15.621,,16.212,15.78,,15.791,,15.815,15.431,15.627,15.448,15.505,15.656,15.368,15.251,15.007,15.684,15.621,15.419,15.096,15.472,15.312,15.629,14.955,14.475,14.457,14.364,15.167,14.962,15.122,14.458,15.291,15.037,15.007,14.332,14.463,14.231,14.233,14.694,14.8,14.728,14.578
,21,,16.349,15.946,,15.911,,,16.044,,15.78,15.758,15.464,15.683,15.379,15.512,15.734,15.399,15.288,15.047,15.66,15.438,15.485,15.028,15.39,15.282,15.627,14.954,14.442,14.414,14.406,15.175,15.004,15.129,14.438,15.218,15.013,14.949,14.356,14.546,14.227,14.243,14.618,14.702,14.743,14.548
,22,,,,15.535,,16.057,15.614,,15.772,,15.861,15.397,15.734,15.361,15.547,15.732,15.399,15.3,15.086,15.556,15.405,15.472,15.025,15.383,15.211,15.599,14.844,14.435,14.346,14.493,15.184,15.052,15.058,14.423,15.204,14.97,14.785,14.433,14.566,14.171,14.318,14.597,14.547,14.65,14.464
,23,,16.279,15.945,,15.898,,,16.063,,15.778,15.781,15.362,15.771,15.27,15.535,15.776,15.502,15.271,14.998,15.645,15.355,15.515,15.034,15.441,15.265,15.511,14.824,14.434,14.22,14.407,15.165,15.073,15.052,14.501,15.165,14.924,14.754,14.513,14.509,14.15,14.271,14.486,14.461,14.585,14.374
