Year,Country,Spending_USD,Life_Expectancy
1974,AUT,283.17,71.1
1974,BEL,257.393,72.0
1974,CHE,508.283,74.4
1974,DEU,452.744,71.5
1974,DNK,458.78,73.9
1974,FIN,244.709,71.2
1974,ISL,338.315,74.5
1974,JPN,242.018,73.7
1974,KOR,18.82,63.9
1974,NLD,398.643,74.6
1974,NOR,273.161,75.0
1974,NZL,356.185,72.0
1974,PRT,111.447,68.1
1974,SWE,420.151,75.1
1974,USA,495.114,72.0
1975,AUS,374.393,72.7
1975,AUT,387.066,71.3
1975,BEL,335.34,72.0
1975,CHE,585.067,74.8
1975,DEU,532.481,71.4
1975,DNK,508.814,74.2
1975,ESP,185.557,73.4
1975,FIN,285.659,71.7
1975,FRA,363.61,73.0
1975,ISL,359.105,75.6
1975,JPN,284.269,74.3
1975,KOR,31.486,64.2
1975,NLD,452.864,74.6
1975,NOR,327.695,75.1
1975,NZL,404.623,72.1
1975,PRT,149.609,68.4
1975,SWE,501.941,75.1
1975,TUR,41.765,56.1
1975,USA,560.75,72.7
1976,AUS,406.043,72.8
1976,AUT,439.489,71.7
1976,BEL,384.687,72.2
1976,CAN,543.337,73.8
1976,CHE,636.796,74.9
1976,DEU,591.098,71.8
1976,DNK,559.687,73.8
1976,ESP,222.183,73.7
1976,FIN,321.467,72.0
1976,ISL,381.289,77.0
1976,JPN,303.725,74.8
1976,KOR,37.849,64.6
1976,LUX,341.891,70.7
1976,NLD,492.089,74.7
1976,NOR,368.994,75.3
1976,NZL,405.967,72.3
1976,PRT,158.575,69.0
1976,SWE,560.537,75.1
1976,TUR,37.807,56.5
1976,USA,638.851,72.9
1977,AUS,450.142,73.4
1977,AUT,486.171,72.1
1977,BEL,446.148,72.8
1977,CHE,690.441,75.4
1977,DEU,647.352,72.5
1977,DNK,591.367,74.8
1977,ESP,252.866,74.2
1977,FIN,350.175,72.4
1977,ISL,451.882,76.4
1977,JPN,340.628,75.3
1977,KOR,41.723,65.0
1977,LUX,384.411,72.2
1977,NLD,541.464,75.3
1977,NOR,421.963,75.7
1977,NZL,436.397,72.5
1977,PRT,158.057,70.1
1977,SWE,648.788,75.5
1977,TUR,55.541,56.9
1977,USA,726.241,73.3
1978,AUS,483.297,73.7
1978,AUT,545.92,72.2
1978,BEL,502.708,72.8
1978,CHE,764.246,75.4
1978,DEU,729.457,72.4
1978,DNK,659.843,74.5
1978,ESP,276.854,74.4
1978,FIN,380.409,73.0
1978,IRL,342.642,71.5
1978,ISL,557.895,76.7
1978,JPN,392.577,75.7
1978,KOR,53.136,65.3
1978,LUX,458.135,72.0
1978,NLD,605.118,75.3
1978,NOR,503.217,75.7
1978,NZL,503.71,72.7
1978,PRT,179.873,70.5
1978,SWE,694.669,75.6
1978,TUR,61.946,57.3
1978,USA,808.884,73.5
1979,AUS,526.757,74.3
1979,AUT,624.629,72.5
1979,BEL,562.939,73.3
1979,CAN,692.269,75.1
1979,CHE,843.331,75.7
1979,DEU,800.703,72.8
1979,DNK,739.095,74.3
1979,ESP,296.83,74.9
1979,FIN,434.11,73.2
1979,IRL,395.014,72.3
1979,JPN,452.931,76.2
1979,KOR,80.144,65.6
1979,LUX,524.174,72.7
1979,NLD,674.308,75.7
1979,NOR,525.509,75.7
1979,NZL,508.089,72.9
1979,PRT,191.184,71.3
1979,SWE,772.614,75.6
1979,TUR,68.975,57.7
1979,USA,908.963,73.9
1980,AUS,592.397,74.6
1980,AUT,710.874,72.6
1980,BEL,592.436,73.3
1980,CAN,791.812,75.2
1980,CHE,960.567,75.7
1980,DEU,908.166,72.9
1980,DNK,797.086,74.2
1980,ESP,330.297,75.4
1980,FIN,492.762,73.6
1980,FRA,659.826,74.3
1980,GBR,385.099,73.2
1980,IRL,475.486,72.9
1980,ISL,721.81,76.9
1980,JPN,535.016,76.1
1980,KOR,91.64,66.1
1980,LUX,597.923,72.8
1980,NLD,750.628,75.9
1980,NOR,608.152,75.8
1980,NZL,500.307,73.2
1980,PRT,255.535,71.4
1980,SWE,898.269,75.9
1980,TUR,73.429,58.1
1980,USA,1036.3,73.7
1981,AUS,668.212,74.9
1981,AUT,659.718,72.9
1981,BEL,668.863,73.7
1981,CAN,898.807,75.5
1981,CHE,1068.338,75.9
1981,DEU,1014.713,73.2
1981,DNK,871.592,74.4
1981,ESP,360.758,75.7
1981,FIN,554.428,73.9
1981,GBR,433.957,73.8
1981,IRL,491.625,72.9
1981,ISL,822.528,76.5
1981,JPN,603.965,76.5
1981,KOR,107.636,66.7
1981,LUX,654.62,72.6
1981,NLD,808.222,76.0
1981,NOR,677.42,76.0
1981,NZL,563.139,73.4
1981,PRT,289.173,71.7
1981,SWE,965.897,76.2
1981,TUR,90.39,58.5
1981,USA,1191.537,74.1
1982,AUS,705.505,74.7
1982,AUT,704.081,73.1
1982,BEL,741.748,74.0
1982,CAN,996.086,75.6
1982,CHE,1146.744,76.2
1982,DEU,1044.528,73.5
1982,DNK,956.108,74.7
1982,ESP,389.049,76.3
1982,FIN,608.69,74.6
1982,GBR,448.477,74.1
1982,IRL,516.647,72.9
1982,ISL,925.273,77.1
1982,JPN,664.777,76.9
1982,KOR,120.406,67.2
1982,LUX,682.382,72.7
1982,NLD,865.857,76.1
1982,NOR,736.7,76.2
1982,NZL,595.608,73.6
1982,PRT,315.546,72.5
1982,SWE,1023.743,76.5
1982,TUR,80.066,58.9
1982,USA,1329.669,74.5
1983,AUS,757.41,75.4
1983,AUT,736.373,73.2
1983,BEL,786.153,73.9
1983,CAN,1066.746,75.9
1983,CHE,1252.064,76.2
1983,DEU,1104.594,73.8
1983,DNK,1003.394,74.6
1983,ESP,420.609,76.0
1983,FIN,659.054,74.4
1983,GBR,501.924,74.3
1983,ISL,984.268,76.9
1983,JPN,714.857,77.0
1983,KOR,136.946,67.7
1983,LUX,709.5,73.5
1983,NLD,906.974,76.3
1983,NOR,811.405,76.2
1983,NZL,634.13,73.7
1983,PRT,309.161,72.4
1983,SWE,1062.581,76.7
1983,TUR,88.742,59.7
1983,USA,1451.945,74.6
1984,AUS,803.836,75.7
1984,AUT,770.301,73.8
1984,BEL,813.539,74.5
1984,CAN,1135.02,76.2
1984,CHE,1300.9,76.9
1984,DEU,1196.56,74.3
1984,DNK,1025.308,74.7
1984,ESP,429.37,76.4
1984,FIN,715.288,74.8
1984,GBR,521.522,74.5
1984,ISL,962.924,77.6
1984,JPN,745.981,77.4
1984,KOR,148.47,68.3
1984,LUX,752.045,73.3
1984,NLD,941.224,76.4
1984,NOR,839.519,76.4
1984,NZL,644.193,73.8
1984,PRT,314.303,72.7
1984,SWE,1122.729,77.0
1984,TUR,91.92,60.9
1984,USA,1590.667,74.7
1985,AUS,855.498,75.6
1985,AUT,828.948,74.0
1985,BEL,865.865,74.6
1985,CAN,1212.85,76.3
1985,CHE,1487.125,77.0
1985,DEU,1298.555,75.0
1985,DNK,1106.65,74.5
1985,ESP,444.876,76.4
1985,FIN,805.55,74.5
1985,FRA,1001.145,75.4
1985,GBR,549.608,74.7
1985,IRL,606.567,73.4
1985,ISL,1046.257,77.6
1985,JPN,818.382,77.6
1985,KOR,165.515,68.9
1985,LUX,798.892,73.8
1985,NLD,977.443,76.5
1985,NOR,908.492,76.0
1985,NZL,605.897,74.0
1985,PRT,371.664,73.0
1985,SWE,1120.765,76.8
1985,TUR,69.653,62.1
1985,USA,1735.156,74.7
1986,AUS,904.542,76.0
1986,AUT,889.349,74.4
1986,BEL,944.824,74.8
1986,CAN,1278.816,76.5
1986,CHE,1601.171,77.1
1986,DEU,1386.51,75.2
1986,DNK,1167.596,74.7
1986,ESP,471.863,76.7
1986,FIN,863.619,74.8
1986,GBR,578.61,74.8
1986,IRL,620.319,73.6
1986,ISL,1248.18,78.0
1986,JPN,859.855,78.1
1986,KOR,183.518,69.5
1986,LUX,883.739,74.7
1986,NLD,1035.491,76.4
1986,NOR,966.06,76.4
1986,NZL,666.359,74.1
1986,PRT,463.516,73.4
1986,SWE,1155.201,77.1
1986,TUR,96.084,63.2
1986,USA,1847.773,74.7
1987,AUS,952.647,76.3
1987,AUT,982.732,74.9
1987,BEL,1009.692,75.4
1987,CAN,1357.453,76.7
1987,CHE,1720.506,77.5
1987,DEU,1480.096,75.6
1987,DNK,1251.13,74.8
1987,ESP,521.903,76.9
1987,FIN,946.648,74.8
1987,GBR,634.956,75.2
1987,IRL,639.514,74.4
1987,ISL,1472.035,77.4
1987,JPN,916.703,78.5
1987,KOR,206.809,70.1
1987,LUX,1017.736,74.3
1987,NLD,1087.247,76.9
1987,NOR,1037.617,76.2
1987,NZL,767.622,74.5
1987,PRT,495.002,73.8
1987,SWE,1235.997,77.2
1987,TUR,99.289,64.4
1987,USA,1976.166,74.9
1988,AUS,1027.927,76.3
1988,AUT,1051.142,75.4
1988,BEL,1111.783,75.7
1988,CAN,1461.3,76.8
1988,CHE,1856.814,77.5
1988,DEU,1616.349,75.9
1988,DNK,1313.355,74.9
1988,ESP,637.608,76.9
1988,FIN,1028.516,74.8
1988,GBR,688.049,75.3
1988,GRC,617.226,76.8
1988,IRL,663.947,74.5
1988,ISL,1597.375,77.1
1988,ITA,1052.784,76.5
1988,JPN,969.251,78.4
1988,KOR,250.267,70.7
1988,LUX,1184.137,75.0
1988,NLD,1146.375,77.1
1988,NOR,1082.646,76.4
1988,NZL,884.715,74.8
1988,PRT,575.521,73.8
1988,SWE,1302.959,77.1
1988,TUR,119.794,65.2
1988,USA,2195.392,74.9
1989,AUS,1097.364,76.4
1989,AUT,1162.766,75.4
1989,BEL,1203.71,75.7
1989,CAN,1579.543,77.1
1989,CHE,2018.304,77.7
1989,DEU,1596.16,76.0
1989,DNK,1359.255,74.9
1989,ESP,713.201,77.0
1989,FIN,1134.258,75.0
1989,GBR,739.714,75.4
1989,GRC,736.223,77.0
1989,IRL,701.046,74.4
1989,ISL,1557.328,78.2
1989,ITA,1122.547,76.9
1989,JPN,1021.247,78.8
1989,KOR,316.146,71.2
1989,LUX,1321.83,74.8
1989,NLD,1269.523,76.9
1989,NOR,1114.748,76.6
1989,NZL,951.371,75.2
1989,PRT,578.368,74.4
1989,SWE,1413.202,77.8
1989,TUR,128.545,65.7
1989,USA,2424.654,75.1
1990,AUS,1166.26,77.0
1990,AUT,1482.281,75.7
1990,BEL,1301.908,76.1
1990,CAN,1699.774,77.3
1990,CHE,2136.023,77.5
1990,CZE,490.947,71.5
1990,DEU,1724.332,77.3
1990,DNK,1441.516,74.9
1990,ESP,821.704,76.9
1990,FIN,1261.603,75.0
1990,FRA,1459.11,77.0
1990,GBR,782.612,75.7
1990,GRC,773.66,77.1
1990,IRL,752.033,74.9
1990,ISL,1575.185,78.1
1990,ITA,1274.024,77.1
1990,JPN,1088.959,78.9
1990,KOR,355.831,71.7
1990,LUX,1475.695,75.6
1990,NLD,1399.987,77.0
1990,NOR,1361.085,76.6
1990,NZL,1022.758,75.5
1990,POL,302.623,70.8
1990,PRT,630.448,74.1
1990,SWE,1489.775,77.7
1990,TUR,152.481,67.5
1990,USA,2684.984,75.3
1991,AUS,1234.372,77.4
1991,AUT,1585.776,75.8
1991,BEL,1421.009,76.3
1991,CAN,1805.209,77.6
1991,CHE,2334.495,77.8
1991,CZE,438.433,72.0
1991,DNK,1484.027,75.3
1991,ESP,898.666,77.1
1991,FIN,1350.305,75.5
1991,FRA,1558.033,77.2
1991,GBR,842.797,75.9
1991,GRC,796.095,77.3
1991,HUN,589.815,69.5
1991,IRL,839.708,75.1
1991,ISL,1662.582,78.1
1991,ITA,1387.471,77.1
1991,JPN,1166.43,79.1
1991,KOR,378.036,72.2
1991,LUX,1549.962,75.7
1991,NLD,1500.763,77.2
1991,NOR,1481.429,77.1
1991,NZL,1069.019,75.8
1991,POL,302.388,70.5
1991,PRT,734.165,74.1
1991,SWE,1480.501,77.8
1991,TUR,175.396,67.8
1991,USA,2901.589,75.5
1992,AUS,1305.536,77.4
1992,AUT,1706.858,76.0
1992,BEL,1525.716,76.5
1992,CAN,1897.456,77.8
1992,CHE,2434.099,78.1
1992,CZE,462.649,72.4
1992,DEU,2019.308,76.1
1992,DNK,1554.371,75.3
1992,ESP,980.365,77.6
1992,FIN,1334.32,75.7
1992,FRA,1651.139,77.5
1992,GBR,930.701,76.3
1992,GRC,887.703,77.2
1992,HUN,627.198,69.3
1992,IRL,919.418,75.5
1992,ISL,1665.65,78.8
1992,ITA,1403.629,77.5
1992,JPN,1253.415,79.2
1992,KOR,418.789,72.6
1992,LUX,1664.8,75.3
1992,NLD,1587.969,77.4
1992,NOR,1556.714,77.3
1992,NZL,1121.818,76.1
1992,POL,324.833,71.0
1992,PRT,790.8,74.7
1992,SWE,1537.277,78.2
1992,TUR,182.732,68.2
1992,USA,3100.343,75.7
1993,AUS,1373.205,77.9
1993,AUT,1849.904,76.2
1993,BEL,1583.708,76.5
1993,CAN,1930.889,77.8
1993,CHE,2492.24,78.4
1993,CZE,658.263,72.9
1993,DEU,2040.313,76.1
1993,DNK,1646.894,75.2
1993,ESP,1028.93,77.7
1993,FIN,1226.337,75.8
1993,FRA,1753.485,77.5
1993,GBR,995.728,76.2
1993,GRC,1001.482,77.6
1993,HUN,647.757,69.3
1993,IRL,992.766,75.3
1993,ISL,1697.821,79.0
1993,ITA,1398.26,77.8
1993,JPN,1332.213,79.4
1993,KOR,442.195,73.1
1993,LUX,1812.655,75.9
1993,NLD,1649.433,77.1
1993,NOR,1605.399,77.2
1993,NZL,1171.927,76.3
1993,POL,349.419,71.5
1993,PRT,823.992,74.6
1993,SWE,1522.519,78.2
1993,TUR,197.035,68.5
1993,USA,3286.558,75.5
1994,AUS,1454.566,77.9
1994,AUT,2017.289,76.6
1994,BEL,1621.74,76.8
1994,CAN,1962.196,77.9
1994,CHE,2626.43,78.6
1994,CZE,725.056,73.2
1994,DEU,2188.676,76.5
1994,DNK,1708.511,75.5
1994,ESP,1052.85,78.0
1994,FIN,1218.172,76.6
1994,FRA,1817.042,78.0
1994,GBR,1058.68,76.8
1994,GRC,1140.602,77.8
1994,HUN,727.653,69.7
1994,IRL,1040.844,75.8
1994,ISL,1751.593,79.3
1994,ITA,1413.011,78.0
1994,JPN,1420.271,79.8
1994,KOR,464.971,73.5
1994,LUX,1857.616,76.6
1994,NLD,1690.022,77.5
1994,NOR,1670.079,77.9
1994,NZL,1246.923,76.6
1994,POL,370.24,71.8
1994,PRT,862.681,75.5
1994,SWE,1519.052,78.9
1994,TUR,179.596,68.9
1994,USA,3432.101,75.7
1995,AUS,1537.471,77.9
1995,AUT,2086.13,76.8
1995,BEL,1670.748,77.0
1995,CAN,1984.944,78.0
1995,CHE,2611.094,78.7
1995,CZE,808.182,73.3
1995,DEU,2349.145,76.6
1995,DNK,1715.029,75.3
1995,ESP,1126.548,78.1
1995,FIN,1346.179,76.6
1995,FRA,2100.918,78.1
1995,GBR,1094.034,76.7
1995,GRC,1191.426,77.8
1995,HUN,685.441,70.1
1995,IRL,1130.502,75.5
1995,ISL,1810.686,78.0
1995,ISR,1162.432,77.5
1995,ITA,1464.822,78.3
1995,JPN,1413.445,79.6
1995,KOR,515.771,73.8
1995,LUX,2097.666,76.8
1995,NLD,1748.653,77.6
1995,NOR,1769.673,77.9
1995,NZL,1306.447,76.8
1995,POL,397.677,72.0
1995,PRT,1009.733,75.4
1995,SWE,1594.73,79.0
1995,TUR,175.472,69.3
1995,USA,3586.745,75.7
1996,AUS,1642.967,78.1
1996,AUT,2160.519,77.0
1996,BEL,1768.091,77.3
1996,CAN,1999.778,78.2
1996,CHE,2766.524,79.1
1996,CZE,858.847,74.0
1996,DEU,2480.217,76.9
1996,DNK,1813.999,75.7
1996,ESP,1179.773,78.3
1996,FIN,1418.16,76.9
1996,FRA,2169.451,78.2
1996,GBR,1171.591,76.9
1996,GRC,1234.04,77.9
1996,HUN,692.801,70.6
1996,IRL,1185.72,75.9
1996,ISL,1886.532,78.8
1996,ISR,1254.45,78.1
1996,ITA,1528.904,78.6
1996,JPN,1436.372,80.3
1996,KOR,575.658,74.2
1996,LUX,2217.649,76.8
1996,NLD,1822.141,77.6
1996,NOR,1928.968,78.3
1996,NZL,1341.537,77.1
1996,POL,454.711,72.3
1996,PRT,1085.917,75.3
1996,SWE,1691.128,79.2
1996,TUR,231.057,69.7
1996,USA,4158.928,76.1
1997,AUS,1727.783,78.4
1997,AUT,2265.214,77.4
1997,BEL,1814.866,77.5
1997,CAN,2091.997,78.3
1997,CHE,2873.708,79.3
1997,CZE,869.442,74.1
1997,DEU,2496.201,77.3
1997,DNK,1891.682,76.1
1997,ESP,1231.849,78.8
1997,FIN,1475.282,77.1
1997,FRA,2236.595,78.6
1997,GBR,1507.352,77.2
1997,GRC,1289.096,78.4
1997,HUN,698.271,71.1
1997,IRL,1288.49,76.0
1997,ISL,2019.116,78.9
1997,ISR,1342.111,78.1
1997,ITA,1651.791,78.9
1997,JPN,1529.586,80.5
1997,KOR,599.675,74.7
1997,LUX,2270.327,77.0
1997,NLD,1883.425,78.0
1997,NOR,2198.562,78.3
1997,NZL,1419.393,77.4
1997,POL,476.476,72.7
1997,PRT,1144.369,75.8
1997,SVK,648.791,72.9
1997,SWE,1709.883,79.4
1997,TUR,266.497,70.1
1997,USA,3894.282,76.5
1998,AUS,1839.209,78.7
1998,AUT,2428.152,77.8
1998,BEL,1881.66,77.6
1998,CAN,2200.468,78.6
1998,CHE,2989.468,79.6
1998,CZE,888.949,74.7
1998,DEU,2566.003,77.7
1998,DNK,1914.184,76.5
1998,ESP,1302.054,78.8
1998,FIN,1523.959,77.3
1998,FRA,2321.931,78.8
1998,GBR,1572.097,77.3
1998,GRC,1328.552,78.3
1998,HUN,768.839,71.0
1998,IRL,1395.603,76.2
1998,ISL,2334.404,79.7
1998,ISR,1383.091,78.2
1998,ITA,1736.633,79.1
1998,JPN,1571.107,80.6
1998,KOR,580.989,75.1
1998,LUX,2428.195,77.3
1998,NLD,2216.663,78.0
1998,NOR,2367.504,78.5
1998,NZL,1499.21,77.7
1998,POL,497.294,73.1
1998,PRT,1194.221,76.0
1998,SVK,663.114,72.8
1998,SWE,1808.561,79.5
1998,TUR,299.802,70.3
1998,USA,4061.536,76.7
1999,AUS,1956.897,79.0
1999,AUT,2569.344,78.0
1999,BEL,2011.684,77.7
1999,CAN,2278.254,78.8
1999,CHE,3103.729,79.8
1999,CZE,951.854,74.9
1999,DEU,2697.878,77.9
1999,DNK,2181.669,76.6
1999,ESP,1370.226,78.8
1999,EST,510.2,70.6
1999,FIN,1609.61,77.5
1999,FRA,2431.303,78.9
1999,GBR,1683.905,77.5
1999,GRC,1390.316,78.5
1999,HUN,823.236,71.1
1999,IRL,1498.298,76.1
1999,ISL,2575.561,79.4
1999,ISR,1369.363,78.5
1999,ITA,1802.03,79.5
1999,JPN,1667.922,80.5
1999,KOR,662.546,75.5
1999,LUX,2827.654,77.9
1999,MEX,476.39,74.0
1999,NLD,2372.005,77.9
1999,NOR,2518.86,78.4
1999,NZL,1565.445,78.1
1999,POL,572.471,73.1
1999,PRT,1319.759,76.2
1999,SVK,658.135,73.2
1999,SWE,1959.359,79.6
1999,TUR,369.102,70.7
1999,USA,4261.996,76.7
2000,AUS,2153.292,79.3
2000,AUT,2803.905,78.2
2000,BEL,2298.186,77.8
2000,CAN,2450.593,79.1
2000,CHE,3326.318,79.9
2000,CHL,589.912,76.4
2000,CZE,1026.024,75.1
2000,DEU,2895.533,78.2
2000,DNK,2345.715,76.9
2000,ESP,1524.076,79.3
2000,EST,543.022,71.0
2000,FIN,1876.849,77.7
2000,FRA,2687.53,79.2
2000,GBR,1897.202,77.9
2000,GRC,1418.418,78.6
2000,HUN,906.89,71.9
2000,IRL,1829.789,76.6
2000,ISL,2658.937,79.7
2000,ISR,1550.05,78.8
2000,ITA,2030.535,79.9
2000,JPN,1847.786,81.2
2000,KOR,725.087,76.0
2000,LTU,574.242,72.1
2000,LUX,3411.355,78.0
2000,MEX,517.218,74.7
2000,NLD,2647.433,78.2
2000,NOR,2793.777,78.8
2000,NZL,1659.487,78.4
2000,POL,604.144,73.8
2000,PRT,1642.936,76.8
2000,SVK,690.474,73.3
2000,SVN,1464.05,76.1
2000,SWE,2196.099,79.7
2000,TUR,432.043,71.1
2000,USA,4536.561,76.7
2001,AUS,2290.69,79.7
2001,AUT,2859.074,78.7
2001,BEL,2404.214,78.1
2001,CAN,2624.293,79.3
2001,CHE,3554.272,80.4
2001,CHL,619.932,76.7
2001,CZE,1160.247,75.3
2001,DEU,3009.368,78.5
2001,DNK,2472.315,77.0
2001,ESP,1635.587,79.8
2001,EST,545.217,70.9
2001,FIN,1982.267,78.2
2001,FRA,2875.294,79.3
2001,GBR,2067.167,78.2
2001,GRC,1700.929,79.1
2001,HUN,996.031,72.5
2001,IRL,2134.358,77.2
2001,ISL,2751.066,80.7
2001,ISR,1653.116,79.3
2001,ITA,2151.727,80.2
2001,JPN,1945.556,81.5
2001,KOR,861.262,76.5
2001,LTU,606.244,71.6
2001,LUX,3714.432,77.9
2001,MEX,567.761,75.0
2001,NLD,2883.085,78.3
2001,NOR,2938.351,78.9
2001,NZL,1799.514,78.7
2001,POL,668.37,74.2
2001,PRT,1709.799,77.2
2001,SVK,758.868,73.6
2001,SVN,1553.962,76.4
2001,SWE,2399.536,79.9
2001,TUR,472.841,71.5
2001,USA,4888.518,76.9
2002,AUS,2481.046,80.0
2002,AUT,3101.021,78.8
2002,BEL,2644.145,78.2
2002,CAN,2758.065,79.5
2002,CHE,3887.068,80.6
2002,CHL,651.632,76.9
2002,CZE,1267.68,75.4
2002,DEU,3239.77,78.5
2002,DNK,2711.668,77.1
2002,ESP,1803.5,79.8
2002,EST,624.72,71.4
2002,FIN,2201.215,78.3
2002,FRA,3152.016,79.4
2002,GBR,2287.476,78.3
2002,GRC,1951.129,79.2
2002,HUN,1167.234,72.5
2002,IRL,2418.861,77.7
2002,ISL,3057.131,80.6
2002,ISR,1691.491,79.5
2002,ITA,2292.714,80.3
2002,JPN,2065.133,81.8
2002,KOR,886.304,76.8
2002,LTU,711.864,71.8
2002,LUX,4248.808,78.1
2002,LVA,630.846,70.1
2002,MEX,600.49,75.1
2002,NLD,3296.964,78.4
2002,NOR,3389.226,79.0
2002,NZL,1920.964,79.0
2002,POL,774.069,74.5
2002,PRT,1839.118,77.4
2002,SVK,868.625,73.8
2002,SVN,1736.558,76.6
2002,SWE,2637.445,79.9
2002,TUR,519.978,71.9
2002,USA,5316.522,77.0
2003,AUS,2578.709,80.3
2003,AUT,3198.001,78.7
2003,BEL,2902.776,78.2
2003,BGR,626.09,72.4
2003,CAN,2914.206,79.6
2003,CHE,3915.233,80.6
2003,CHL,706.546,77.2
2003,CZE,1393.824,75.3
2003,DEU,3329.374,78.6
2003,DNK,2723.11,77.4
2003,ESP,2015.047,79.7
2003,EST,700.296,71.8
2003,FIN,2277.09,78.5
2003,FRA,3056.265,79.3
2003,GBR,2469.159,78.4
2003,GRC,2048.654,79.3
2003,HUN,1364.863,72.6
2003,IRL,2578.802,78.2
2003,ISL,3106.92,81.0
2003,ISR,1634.427,79.7
2003,ITA,2289.348,80.1
2003,JPN,2194.437,81.8
2003,KOR,973.222,77.3
2003,LTU,816.53,72.0
2003,LUX,4411.556,77.8
2003,LVA,637.609,70.5
2003,MEX,688.931,75.1
2003,NLD,3308.866,78.7
2003,NOR,3447.941,79.6
2003,NZL,1917.07,79.3
2003,POL,781.579,74.7
2003,PRT,1921.97,77.5
2003,ROU,437.584,71.1
2003,SVK,876.578,73.8
2003,SVN,1786.405,76.4
2003,SWE,2675.912,80.3
2003,TUR,509.726,72.3
2003,USA,5726.538,77.1
2004,AUS,2818.137,80.5
2004,AUT,3410.974,79.3
2004,BEL,3086.204,79.0
2004,BGR,655.52,72.6
2004,CAN,3122.396,79.9
2004,CHE,4108.005,81.2
2004,CHL,766.318,77.4
2004,CZE,1464.059,75.8
2004,DEU,3391.521,79.2
2004,DNK,2920.644,77.8
2004,ESP,2123.064,80.4
2004,EST,814.108,72.4
2004,FIN,2478.714,79.0
2004,FRA,3170.947,80.3
2004,GBR,2724.869,79.0
2004,GRC,2100.803,79.4
2004,HUN,1381.481,73.0
2004,IRL,2804.828,78.6
2004,ISL,3262.487,81.1
2004,ISR,1708.109,80.2
2004,ITA,2451.044,80.9
2004,JPN,2303.68,82.1
2004,KOR,1033.444,77.8
2004,LTU,789.396,72.0
2004,LUX,4776.03,79.2
2004,LVA,796.402,70.8
2004,MEX,767.95,75.4
2004,NLD,3494.733,79.2
2004,NOR,3655.626,80.1
2004,NZL,2077.843,79.6
2004,POL,837.525,74.9
2004,PRT,2085.322,78.4
2004,ROU,527.806,71.4
2004,SVK,1100.648,74.2
2004,SVN,1857.808,77.2
2004,SWE,2773.003,80.6
2004,TUR,558.587,72.7
2004,USA,6069.53,77.6
2005,AUS,2872.44,80.9
2005,AUT,3475.868,79.4
2005,BEL,3104.173,79.1
2005,BGR,711.299,72.6
2005,CAN,3291.912,80.0
2005,CHE,4106.058,81.4
2005,CHL,810.691,77.7
2005,CZE,1523.395,76.1
2005,DEU,3429.955,79.4
2005,DNK,3014.982,78.3
2005,ESP,2212.466,80.3
2005,EST,888.89,72.9
2005,FIN,2573.5,79.1
2005,FRA,3264.574,80.4
2005,GBR,2731.445,79.2
2005,GRC,2193.594,79.6
2005,HRV,1058.36,75.3
2005,HUN,1463.525,73.0
2005,IRL,3093.376,79.0
2005,ISL,3280.772,81.5
2005,ISR,1756.34,80.2
2005,ITA,2504.099,80.9
2005,JPN,2471.186,82.0
2005,KOR,1134.304,78.2
2005,LTU,885.721,71.3
2005,LUX,4881.401,79.5
2005,LVA,839.728,70.6
2005,MEX,771.596,75.2
2005,NLD,3583.454,79.5
2005,NOR,3740.873,80.3
